ID,バス会社名称,路線ID,停車順番,バス停名称,路線名称,緯度,経度,市区町村名
0,都営バス,1,1,上野松坂屋前,上23(上野松坂屋前-平井駅前)[都営バス],35.70699,139.772551,台東区
1,都営バス,1,2,上野公園山下,上23(上野松坂屋前-平井駅前)[都営バス],35.711086,139.773964,台東区
2,都営バス,1,3,上野駅前,上23(上野松坂屋前-平井駅前)[都営バス],35.711844,139.776963,台東区
3,都営バス,1,4,下谷神社前,上23(上野松坂屋前-平井駅前)[都営バス],35.711746,139.781106,台東区
4,都営バス,1,5,東上野六丁目,上23(上野松坂屋前-平井駅前)[都営バス],35.711181,139.784291,台東区
5,都営バス,1,6,菊屋橋,上23(上野松坂屋前-平井駅前)[都営バス],35.710618,139.787478,台東区
6,都営バス,1,7,浅草寿町,上23(上野松坂屋前-平井駅前)[都営バス],35.710306,139.791438,台東区
7,都営バス,1,8,浅草一丁目,上23(上野松坂屋前-平井駅前)[都営バス],35.711467,139.792638,台東区
8,都営バス,1,9,浅草雷門,上23(上野松坂屋前-平井駅前)[都営バス],35.711117,139.795364,台東区
9,都営バス,1,10,リバーピア吾妻橋前,上23(上野松坂屋前-平井駅前)[都営バス],35.70948,139.800342,墨田区
10,都営バス,1,11,墨田区役所前,上23(上野松坂屋前-平井駅前)[都営バス],35.710506,139.80197,墨田区
11,都営バス,1,12,本所吾妻橋,上23(上野松坂屋前-平井駅前)[都営バス],35.708771,139.805128,墨田区
12,都営バス,1,13,とうきょうスカイツリー駅入口,上23(上野松坂屋前-平井駅前)[都営バス],35.70897,139.809239,墨田区
13,都営バス,1,14,押上,上23(上野松坂屋前-平井駅前)[都営バス],35.709129,139.812915,墨田区
14,都営バス,1,15,十間橋(東京都),上23(上野松坂屋前-平井駅前)[都営バス],35.708188,139.817373,墨田区
15,都営バス,1,16,十間橋通り,上23(上野松坂屋前-平井駅前)[都営バス],35.710932,139.820614,墨田区
16,都営バス,1,17,文花三丁目,上23(上野松坂屋前-平井駅前)[都営バス],35.712282,139.824345,墨田区
17,都営バス,1,18,中居堀,上23(上野松坂屋前-平井駅前)[都営バス],35.713058,139.82669,墨田区
18,都営バス,1,19,八広二丁目,上23(上野松坂屋前-平井駅前)[都営バス],35.715836,139.828651,墨田区
19,都営バス,1,20,社会福祉会館前(東京都),上23(上野松坂屋前-平井駅前)[都営バス],35.718762,139.829807,墨田区
20,都営バス,1,21,東墨田二丁目,上23(上野松坂屋前-平井駅前)[都営バス],35.721817,139.830764,墨田区
21,都営バス,1,22,東墨田会館前,上23(上野松坂屋前-平井駅前)[都営バス],35.721302,139.832463,墨田区
22,都営バス,1,23,東墨田三丁目,上23(上野松坂屋前-平井駅前)[都営バス],35.719013,139.834126,墨田区
23,都営バス,1,24,東墨田一丁目,上23(上野松坂屋前-平井駅前)[都営バス],35.716139,139.832904,墨田区
24,都営バス,1,25,平井七丁目第三アパート前,上23(上野松坂屋前-平井駅前)[都営バス],35.715068,139.835041,江戸川区
25,都営バス,1,26,中平井(江戸川区),上23(上野松坂屋前-平井駅前)[都営バス],35.716271,139.835793,江戸川区
26,都営バス,1,27,平井七丁目北公園前,上23(上野松坂屋前-平井駅前)[都営バス],35.716786,139.837784,江戸川区
27,都営バス,1,28,平井七丁目,上23(上野松坂屋前-平井駅前)[都営バス],35.714958,139.842319,江戸川区
28,都営バス,1,29,平井六丁目交番前,上23(上野松坂屋前-平井駅前)[都営バス],35.712406,139.842252,江戸川区
29,都営バス,1,30,平井小学校前(東京都),上23(上野松坂屋前-平井駅前)[都営バス],35.710057,139.841877,江戸川区
30,都営バス,1,31,平井駅前,上23(上野松坂屋前-平井駅前)[都営バス],35.706681,139.841922,江戸川区
31,都営バス,2,1,青戸車庫前,上23(青戸車庫前-東墨田会館)[都営バス],35.743776,139.843356,葛飾区
32,都営バス,2,2,梅田小学校前,上23(青戸車庫前-東墨田会館)[都営バス],35.740399,139.840015,葛飾区
33,都営バス,2,3,葛飾警察署前〔都営バス〕,上23(青戸車庫前-東墨田会館)[都営バス],35.737673,139.837073,葛飾区
34,都営バス,2,4,よつぎ小学校前,上23(青戸車庫前-東墨田会館)[都営バス],35.736099,139.834953,葛飾区
35,都営バス,2,5,四ツ木橋,上23(青戸車庫前-東墨田会館)[都営バス],35.734579,139.8327,葛飾区
36,都営バス,2,6,四ツ木橋南詰,上23(青戸車庫前-東墨田会館)[都営バス],35.729557,139.826212,墨田区
37,都営バス,2,7,八広,上23(青戸車庫前-東墨田会館)[都営バス],35.7265,139.827673,墨田区
38,都営バス,2,8,八広六丁目,上23(青戸車庫前-東墨田会館)[都営バス],35.723982,139.83041,墨田区
39,都営バス,2,9,東墨田会館前,上23(青戸車庫前-東墨田会館)[都営バス],35.721302,139.832463,墨田区
40,都営バス,2,10,東墨田三丁目,上23(青戸車庫前-東墨田会館)[都営バス],35.719013,139.834126,墨田区
41,都営バス,2,11,東墨田一丁目,上23(青戸車庫前-東墨田会館)[都営バス],35.716139,139.832904,墨田区
42,都営バス,2,12,平井七丁目第三アパート前,上23(青戸車庫前-東墨田会館)[都営バス],35.715068,139.835041,江戸川区
43,都営バス,2,13,中平井(江戸川区),上23(青戸車庫前-東墨田会館)[都営バス],35.716271,139.835793,江戸川区
44,都営バス,2,14,平井七丁目北公園前,上23(青戸車庫前-東墨田会館)[都営バス],35.716786,139.837784,江戸川区
45,都営バス,2,15,平井七丁目,上23(青戸車庫前-東墨田会館)[都営バス],35.714958,139.842319,江戸川区
46,都営バス,2,16,平井六丁目交番前,上23(青戸車庫前-東墨田会館)[都営バス],35.712406,139.842252,江戸川区
47,都営バス,2,17,平井小学校前(東京都),上23(青戸車庫前-東墨田会館)[都営バス],35.710057,139.841877,江戸川区
48,都営バス,2,18,平井駅前,上23(青戸車庫前-東墨田会館)[都営バス],35.706681,139.841922,江戸川区
49,都営バス,3,1,亀戸駅前,上26[都営バス],35.698022,139.825505,江東区
50,都営バス,3,2,亀戸四丁目,上26[都営バス],35.701609,139.82469,江東区
51,都営バス,3,3,亀戸天神前,上26[都営バス],35.701387,139.820407,江東区
52,都営バス,3,4,太平四丁目,上26[都営バス],35.70124,139.817428,墨田区
53,都営バス,3,5,太平三丁目,上26[都営バス],35.701779,139.814549,墨田区
54,都営バス,3,6,横川三丁目(東京都),上26[都営バス],35.703856,139.814373,墨田区
55,都営バス,3,7,業平四丁目,上26[都営バス],35.70639,139.814138,墨田区
56,都営バス,3,8,押上,上26[都営バス],35.708309,139.813736,墨田区
57,都営バス,3,9,とうきょうスカイツリー駅前,上26[都営バス],35.710019,139.808381,墨田区
58,都営バス,3,10,言問橋,上26[都営バス],35.712529,139.806206,墨田区
59,都営バス,3,11,隅田公園〔都営バス〕,上26[都営バス],35.715297,139.800519,台東区
60,都営バス,3,12,浅草二丁目,上26[都営バス],35.71612,139.796977,台東区
61,都営バス,3,13,奥浅草,上26[都営バス],35.716714,139.794645,台東区
62,都営バス,3,14,西浅草三丁目〔都営バス〕,上26[都営バス],35.717403,139.791914,台東区
63,都営バス,3,15,入谷二丁目,上26[都営バス],35.717901,139.789932,台東区
64,都営バス,3,16,中入谷(台東区),上26[都営バス],35.71907,139.786083,台東区
65,都営バス,3,17,入谷鬼子母神,上26[都営バス],35.720024,139.78292,台東区
66,都営バス,3,18,下谷二丁目,上26[都営バス],35.720928,139.780741,台東区
67,都営バス,3,19,上野桜木,上26[都営バス],35.7224,139.77407,台東区
68,都営バス,3,20,谷中(東京都),上26[都営バス],35.721117,139.77108,台東区
69,都営バス,3,21,根津駅前,上26[都営バス],35.717628,139.765594,文京区
70,都営バス,3,22,池之端二丁目,上26[都営バス],35.715215,139.767539,台東区
71,都営バス,3,23,池之端一丁目,上26[都営バス],35.71224,139.768683,台東区
72,都営バス,3,24,上野広小路,上26[都営バス],35.707969,139.772295,文京区
73,都営バス,3,25,上野公園(東京都),上26[都営バス],35.709754,139.771856,台東区
74,都営バス,4,1,南千住駅東口,上46[都営バス],35.733403,139.799884,荒川区
75,都営バス,4,2,ドナウ通り,上46[都営バス],35.734972,139.801649,荒川区
76,都営バス,4,3,南千住四丁目,上46[都営バス],35.735708,139.804288,荒川区
77,都営バス,4,4,南千住汐入,上46[都営バス],35.73784,139.805869,荒川区
78,都営バス,4,5,はなみずき通り中央,上46[都営バス],35.738355,139.809051,荒川区
79,都営バス,4,6,荒川区立第三中学校前,上46[都営バス],35.737897,139.811085,荒川区
80,都営バス,4,7,汐入公園前,上46[都営バス],35.737099,139.809216,荒川区
81,都営バス,4,8,南千住八丁目,上46[都営バス],35.736375,139.807867,荒川区
82,都営バス,4,9,都立産業技術高専荒川キャンパス前,上46[都営バス],35.734524,139.80804,荒川区
83,都営バス,4,10,南千住三丁目,上46[都営バス],35.732736,139.808323,荒川区
84,都営バス,4,11,南千住清掃車車庫前,上46[都営バス],35.731442,139.804518,荒川区
85,都営バス,4,12,隅田川貨物駅前,上46[都営バス],35.730305,139.800611,荒川区
86,都営バス,4,13,南千住車庫前,上46[都営バス],35.731361,139.798429,荒川区
87,都営バス,4,14,清川二丁目,上46[都営バス],35.726729,139.800694,台東区
88,都営バス,4,15,吉原大門,上46[都営バス],35.724209,139.797731,台東区
89,都営バス,4,16,浅草五丁目,上46[都営バス],35.721605,139.797015,台東区
90,都営バス,4,17,浅草四丁目〔都営バス〕,上46[都営バス],35.719967,139.795443,台東区
91,都営バス,4,18,奥浅草,上46[都営バス],35.717413,139.794418,台東区
92,都営バス,4,19,浅草公園六区,上46[都営バス],35.714073,139.792665,台東区
93,都営バス,4,20,浅草一丁目,上46[都営バス],35.71218,139.792268,台東区
94,都営バス,4,21,浅草寿町,上46[都営バス],35.709687,139.790577,台東区
95,都営バス,4,22,菊屋橋,上46[都営バス],35.710296,139.78754,台東区
96,都営バス,4,23,東上野六丁目,上46[都営バス],35.711014,139.783446,台東区
97,都営バス,4,24,下谷神社前,上46[都営バス],35.711451,139.781017,台東区
98,都営バス,4,25,上野駅前,上46[都営バス],35.711409,139.775325,台東区
99,都営バス,4,26,上野公園山下,上46[都営バス],35.710813,139.774163,台東区
100,都営バス,4,27,上野松坂屋前,上46[都営バス],35.709104,139.773546,台東区
101,都営バス,5,1,早稲田(東京都),上58[都営バス],35.711071,139.722139,新宿区
