バス会社名称,路線名称,バス停名称,緯度,経度,バス停ID,路線ID,バス会社ID
都営バス,上23(上野松坂屋前-平井駅前)[都営バス],上野松坂屋前,35.70699,139.772551,1,1,432.0
都営バス,上23(上野松坂屋前-平井駅前)[都営バス],上野公園山下,35.711086,139.773964,2,1,432.0
都営バス,上23(上野松坂屋前-平井駅前)[都営バス],上野駅前,35.711844,139.776963,3,1,432.0
都営バス,上23(上野松坂屋前-平井駅前)[都営バス],下谷神社前,35.711746,139.781106,4,1,432.0
都営バス,上23(上野松坂屋前-平井駅前)[都営バス],東上野六丁目,35.711181,139.784291,5,1,432.0
都営バス,上23(上野松坂屋前-平井駅前)[都営バス],菊屋橋,35.710618,139.787478,6,1,432.0
都営バス,上23(上野松坂屋前-平井駅前)[都営バス],浅草寿町,35.710306,139.791438,7,1,432.0
都営バス,上23(上野松坂屋前-平井駅前)[都営バス],浅草一丁目,35.711467,139.792638,8,1,432.0
都営バス,上23(上野松坂屋前-平井駅前)[都営バス],浅草雷門,35.711117,139.795364,9,1,432.0
都営バス,上23(上野松坂屋前-平井駅前)[都営バス],リバーピア吾妻橋前,35.70948,139.800342,10,1,432.0
都営バス,上23(上野松坂屋前-平井駅前)[都営バス],墨田区役所前,35.710506,139.80197,11,1,432.0
都営バス,上23(上野松坂屋前-平井駅前)[都営バス],本所吾妻橋,35.708771,139.805128,12,1,432.0
都営バス,上23(上野松坂屋前-平井駅前)[都営バス],とうきょうスカイツリー駅入口,35.70897,139.809239,13,1,432.0
都営バス,上23(上野松坂屋前-平井駅前)[都営バス],押上,35.709129,139.812915,14,1,432.0
都営バス,上23(上野松坂屋前-平井駅前)[都営バス],十間橋(東京都),35.708188,139.817373,15,1,432.0
都営バス,上23(上野松坂屋前-平井駅前)[都営バス],十間橋通り,35.710932,139.820614,16,1,432.0
都営バス,上23(上野松坂屋前-平井駅前)[都営バス],文花三丁目,35.712282,139.824345,17,1,432.0
都営バス,上23(上野松坂屋前-平井駅前)[都営バス],中居堀,35.713058,139.82669,18,1,432.0
都営バス,上23(上野松坂屋前-平井駅前)[都営バス],八広二丁目,35.715836,139.828651,19,1,432.0
都営バス,上23(上野松坂屋前-平井駅前)[都営バス],社会福祉会館前(東京都),35.718762,139.829807,20,1,432.0
都営バス,上23(上野松坂屋前-平井駅前)[都営バス],東墨田二丁目,35.721817,139.830764,21,1,432.0
都営バス,上23(上野松坂屋前-平井駅前)[都営バス],東墨田会館前,35.721302,139.832463,22,1,432.0
都営バス,上23(上野松坂屋前-平井駅前)[都営バス],東墨田三丁目,35.719013,139.834126,23,1,432.0
都営バス,上23(上野松坂屋前-平井駅前)[都営バス],東墨田一丁目,35.716139,139.832904,24,1,432.0
都営バス,上23(上野松坂屋前-平井駅前)[都営バス],平井七丁目第三アパート前,35.715068,139.835041,25,1,432.0
都営バス,上23(上野松坂屋前-平井駅前)[都営バス],中平井(江戸川区),35.716271,139.835793,26,1,432.0
都営バス,上23(上野松坂屋前-平井駅前)[都営バス],平井七丁目北公園前,35.716786,139.837784,27,1,432.0
都営バス,上23(上野松坂屋前-平井駅前)[都営バス],平井七丁目,35.714958,139.842319,28,1,432.0
都営バス,上23(上野松坂屋前-平井駅前)[都営バス],平井六丁目交番前,35.712406,139.842252,29,1,432.0
都営バス,上23(上野松坂屋前-平井駅前)[都営バス],平井小学校前(東京都),35.710057,139.841877,30,1,432.0
都営バス,上23(上野松坂屋前-平井駅前)[都営バス],平井駅前,35.706681,139.841922,31,1,432.0
都営バス,上23(青戸車庫前-東墨田会館)[都営バス],青戸車庫前,35.743776,139.843356,32,2,432.0
都営バス,上23(青戸車庫前-東墨田会館)[都営バス],梅田小学校前,35.740399,139.840015,33,2,432.0
都営バス,上23(青戸車庫前-東墨田会館)[都営バス],葛飾警察署前〔都営バス〕,35.737673,139.837073,34,2,432.0
都営バス,上23(青戸車庫前-東墨田会館)[都営バス],よつぎ小学校前,35.736099,139.834953,35,2,432.0
都営バス,上23(青戸車庫前-東墨田会館)[都営バス],四ツ木橋,35.734579,139.8327,36,2,432.0
都営バス,上23(青戸車庫前-東墨田会館)[都営バス],四ツ木橋南詰,35.729557,139.826212,37,2,432.0
都営バス,上23(青戸車庫前-東墨田会館)[都営バス],八広,35.7265,139.827673,38,2,432.0
都営バス,上23(青戸車庫前-東墨田会館)[都営バス],八広六丁目,35.723982,139.83041,39,2,432.0
都営バス,上23(青戸車庫前-東墨田会館)[都営バス],東墨田会館前,35.721302,139.832463,22,2,432.0
都営バス,上23(青戸車庫前-東墨田会館)[都営バス],東墨田三丁目,35.719013,139.834126,23,2,432.0
都営バス,上23(青戸車庫前-東墨田会館)[都営バス],東墨田一丁目,35.716139,139.832904,24,2,432.0
都営バス,上23(青戸車庫前-東墨田会館)[都営バス],平井七丁目第三アパート前,35.715068,139.835041,25,2,432.0
都営バス,上23(青戸車庫前-東墨田会館)[都営バス],中平井(江戸川区),35.716271,139.835793,26,2,432.0
都営バス,上23(青戸車庫前-東墨田会館)[都営バス],平井七丁目北公園前,35.716786,139.837784,27,2,432.0
都営バス,上23(青戸車庫前-東墨田会館)[都営バス],平井七丁目,35.714958,139.842319,28,2,432.0
都営バス,上23(青戸車庫前-東墨田会館)[都営バス],平井六丁目交番前,35.712406,139.842252,29,2,432.0
都営バス,上23(青戸車庫前-東墨田会館)[都営バス],平井小学校前(東京都),35.710057,139.841877,30,2,432.0
都営バス,上23(青戸車庫前-東墨田会館)[都営バス],平井駅前,35.706681,139.841922,31,2,432.0
都営バス,上26[都営バス],亀戸駅前,35.698022,139.825505,40,3,432.0
都営バス,上26[都営バス],亀戸四丁目,35.701609,139.82469,41,3,432.0
都営バス,上26[都営バス],亀戸天神前,35.701387,139.820407,42,3,432.0
都営バス,上26[都営バス],太平四丁目,35.70124,139.817428,43,3,432.0
都営バス,上26[都営バス],太平三丁目,35.701779,139.814549,44,3,432.0
都営バス,上26[都営バス],横川三丁目(東京都),35.703856,139.814373,45,3,432.0
都営バス,上26[都営バス],業平四丁目,35.70639,139.814138,46,3,432.0
都営バス,上26[都営バス],押上,35.708309,139.813736,47,3,432.0
都営バス,上26[都営バス],とうきょうスカイツリー駅前,35.710019,139.808381,48,3,432.0
都営バス,上26[都営バス],言問橋,35.712529,139.806206,49,3,432.0
都営バス,上26[都営バス],隅田公園〔都営バス〕,35.715297,139.800519,50,3,432.0
都営バス,上26[都営バス],浅草二丁目,35.71612,139.796977,51,3,432.0
都営バス,上26[都営バス],奥浅草,35.716714,139.794645,52,3,432.0
都営バス,上26[都営バス],西浅草三丁目〔都営バス〕,35.717403,139.791914,53,3,432.0
都営バス,上26[都営バス],入谷二丁目,35.717901,139.789932,54,3,432.0
都営バス,上26[都営バス],中入谷(台東区),35.71907,139.786083,55,3,432.0
都営バス,上26[都営バス],入谷鬼子母神,35.720024,139.78292,56,3,432.0
都営バス,上26[都営バス],下谷二丁目,35.720928,139.780741,57,3,432.0
都営バス,上26[都営バス],上野桜木,35.7224,139.77407,58,3,432.0
都営バス,上26[都営バス],谷中(東京都),35.721117,139.77108,59,3,432.0
都営バス,上26[都営バス],根津駅前,35.717628,139.765594,60,3,432.0
都営バス,上26[都営バス],池之端二丁目,35.715215,139.767539,61,3,432.0
都営バス,上26[都営バス],池之端一丁目,35.71224,139.768683,62,3,432.0
都営バス,上26[都営バス],上野広小路,35.707969,139.772295,63,3,432.0
都営バス,上26[都営バス],上野公園(東京都),35.709754,139.771856,64,3,432.0
都営バス,上46[都営バス],南千住駅東口,35.733403,139.799884,65,4,432.0
都営バス,上46[都営バス],ドナウ通り,35.734972,139.801649,66,4,432.0
都営バス,上46[都営バス],南千住四丁目,35.735708,139.804288,67,4,432.0
都営バス,上46[都営バス],南千住汐入,35.73784,139.805869,68,4,432.0
都営バス,上46[都営バス],はなみずき通り中央,35.738355,139.809051,69,4,432.0
都営バス,上46[都営バス],荒川区立第三中学校前,35.737897,139.811085,70,4,432.0
都営バス,上46[都営バス],汐入公園前,35.737099,139.809216,71,4,432.0
都営バス,上46[都営バス],南千住八丁目,35.736375,139.807867,72,4,432.0
都営バス,上46[都営バス],都立産業技術高専荒川キャンパス前,35.734524,139.80804,73,4,432.0
都営バス,上46[都営バス],南千住三丁目,35.732736,139.808323,74,4,432.0
都営バス,上46[都営バス],南千住清掃車車庫前,35.731442,139.804518,75,4,432.0
