"路線ID","バス会社ID","バス停ID","バス停名称","路線名称"
1,432,1,"上野松坂屋前","上23(上野松坂屋前-平井駅前)[都営バス]"
1,432,2,"上野公園山下","上23(上野松坂屋前-平井駅前)[都営バス]"
1,432,3,"上野駅前","上23(上野松坂屋前-平井駅前)[都営バス]"
1,432,4,"下谷神社前","上23(上野松坂屋前-平井駅前)[都営バス]"
1,432,5,"東上野六丁目","上23(上野松坂屋前-平井駅前)[都営バス]"
1,432,6,"菊屋橋","上23(上野松坂屋前-平井駅前)[都営バス]"
1,432,7,"浅草寿町","上23(上野松坂屋前-平井駅前)[都営バス]"
1,432,8,"浅草一丁目","上23(上野松坂屋前-平井駅前)[都営バス]"
1,432,9,"浅草雷門","上23(上野松坂屋前-平井駅前)[都営バス]"
1,432,10,"リバーピア吾妻橋前","上23(上野松坂屋前-平井駅前)[都営バス]"
1,432,11,"墨田区役所前","上23(上野松坂屋前-平井駅前)[都営バス]"
1,432,12,"本所吾妻橋","上23(上野松坂屋前-平井駅前)[都営バス]"
1,432,13,"とうきょうスカイツリー駅入口","上23(上野松坂屋前-平井駅前)[都営バス]"
1,432,14,"押上","上23(上野松坂屋前-平井駅前)[都営バス]"
1,432,15,"十間橋(東京都)","上23(上野松坂屋前-平井駅前)[都営バス]"
1,432,16,"十間橋通り","上23(上野松坂屋前-平井駅前)[都営バス]"
1,432,17,"文花三丁目","上23(上野松坂屋前-平井駅前)[都営バス]"
1,432,18,"中居堀","上23(上野松坂屋前-平井駅前)[都営バス]"
1,432,19,"八広二丁目","上23(上野松坂屋前-平井駅前)[都営バス]"
1,432,20,"社会福祉会館前(東京都)","上23(上野松坂屋前-平井駅前)[都営バス]"
1,432,21,"東墨田二丁目","上23(上野松坂屋前-平井駅前)[都営バス]"
1,432,22,"東墨田会館前","上23(上野松坂屋前-平井駅前)[都営バス]"
1,432,23,"東墨田三丁目","上23(上野松坂屋前-平井駅前)[都営バス]"
1,432,24,"東墨田一丁目","上23(上野松坂屋前-平井駅前)[都営バス]"
1,432,25,"平井七丁目第三アパート前","上23(上野松坂屋前-平井駅前)[都営バス]"
1,432,26,"中平井(江戸川区)","上23(上野松坂屋前-平井駅前)[都営バス]"
1,432,27,"平井七丁目北公園前","上23(上野松坂屋前-平井駅前)[都営バス]"
1,432,28,"平井七丁目","上23(上野松坂屋前-平井駅前)[都営バス]"
1,432,29,"平井六丁目交番前","上23(上野松坂屋前-平井駅前)[都営バス]"
1,432,30,"平井小学校前(東京都)","上23(上野松坂屋前-平井駅前)[都営バス]"
1,432,31,"平井駅前","上23(上野松坂屋前-平井駅前)[都営バス]"
2,432,32,"青戸車庫前","上23(青戸車庫前-東墨田会館)[都営バス]"
2,432,33,"梅田小学校前","上23(青戸車庫前-東墨田会館)[都営バス]"
2,432,34,"葛飾警察署前〔都営バス〕","上23(青戸車庫前-東墨田会館)[都営バス]"
2,432,35,"よつぎ小学校前","上23(青戸車庫前-東墨田会館)[都営バス]"
2,432,36,"四ツ木橋","上23(青戸車庫前-東墨田会館)[都営バス]"
2,432,37,"四ツ木橋南詰","上23(青戸車庫前-東墨田会館)[都営バス]"
2,432,38,"八広","上23(青戸車庫前-東墨田会館)[都営バス]"
2,432,39,"八広六丁目","上23(青戸車庫前-東墨田会館)[都営バス]"
2,432,22,"東墨田会館前","上23(青戸車庫前-東墨田会館)[都営バス]"
2,432,23,"東墨田三丁目","上23(青戸車庫前-東墨田会館)[都営バス]"
2,432,24,"東墨田一丁目","上23(青戸車庫前-東墨田会館)[都営バス]"
2,432,25,"平井七丁目第三アパート前","上23(青戸車庫前-東墨田会館)[都営バス]"
2,432,26,"中平井(江戸川区)","上23(青戸車庫前-東墨田会館)[都営バス]"
2,432,27,"平井七丁目北公園前","上23(青戸車庫前-東墨田会館)[都営バス]"
2,432,28,"平井七丁目","上23(青戸車庫前-東墨田会館)[都営バス]"
2,432,29,"平井六丁目交番前","上23(青戸車庫前-東墨田会館)[都営バス]"
2,432,30,"平井小学校前(東京都)","上23(青戸車庫前-東墨田会館)[都営バス]"
2,432,31,"平井駅前","上23(青戸車庫前-東墨田会館)[都営バス]"
3,432,40,"亀戸駅前","上26[都営バス]"
3,432,41,"亀戸四丁目","上26[都営バス]"
3,432,42,"亀戸天神前","上26[都営バス]"
3,432,43,"太平四丁目","上26[都営バス]"
3,432,44,"太平三丁目","上26[都営バス]"
3,432,45,"横川三丁目(東京都)","上26[都営バス]"
3,432,46,"業平四丁目","上26[都営バス]"
3,432,47,"押上","上26[都営バス]"
3,432,48,"とうきょうスカイツリー駅前","上26[都営バス]"
3,432,49,"言問橋","上26[都営バス]"
3,432,50,"隅田公園〔都営バス〕","上26[都営バス]"
3,432,51,"浅草二丁目","上26[都営バス]"
3,432,52,"奥浅草","上26[都営バス]"
3,432,53,"西浅草三丁目〔都営バス〕","上26[都営バス]"
3,432,54,"入谷二丁目","上26[都営バス]"
3,432,55,"中入谷(台東区)","上26[都営バス]"
3,432,56,"入谷鬼子母神","上26[都営バス]"
3,432,57,"下谷二丁目","上26[都営バス]"
3,432,58,"上野桜木","上26[都営バス]"
3,432,59,"谷中(東京都)","上26[都営バス]"
3,432,60,"根津駅前","上26[都営バス]"
3,432,61,"池之端二丁目","上26[都営バス]"
3,432,62,"池之端一丁目","上26[都営バス]"
3,432,63,"上野広小路","上26[都営バス]"
3,432,64,"上野公園(東京都)","上26[都営バス]"
4,432,65,"南千住駅東口","上46[都営バス]"
4,432,66,"ドナウ通り","上46[都営バス]"
4,432,67,"南千住四丁目","上46[都営バス]"
4,432,68,"南千住汐入","上46[都営バス]"
4,432,69,"はなみずき通り中央","上46[都営バス]"
4,432,70,"荒川区立第三中学校前","上46[都営バス]"
4,432,71,"汐入公園前","上46[都営バス]"
4,432,72,"南千住八丁目","上46[都営バス]"
4,432,73,"都立産業技術高専荒川キャンパス前","上46[都営バス]"
4,432,74,"南千住三丁目","上46[都営バス]"
4,432,75,"南千住清掃車車庫前","上46[都営バス]"
4,432,76,"隅田川貨物駅前","上46[都営バス]"
4,432,77,"南千住車庫前","上46[都営バス]"
4,432,78,"清川二丁目","上46[都営バス]"
4,432,79,"吉原大門","上46[都営バス]"
4,432,80,"浅草五丁目","上46[都営バス]"
4,432,81,"浅草四丁目〔都営バス〕","上46[都営バス]"
4,432,82,"奥浅草","上46[都営バス]"
4,432,83,"浅草公園六区","上46[都営バス]"
4,432,84,"浅草一丁目","上46[都営バス]"
4,432,85,"浅草寿町","上46[都営バス]"
4,432,86,"菊屋橋","上46[都営バス]"
4,432,87,"東上野六丁目","上46[都営バス]"
4,432,88,"下谷神社前","上46[都営バス]"
4,432,89,"上野駅前","上46[都営バス]"
4,432,90,"上野公園山下","上46[都営バス]"
4,432,91,"上野松坂屋前","上46[都営バス]"
5,432,92,"早稲田(東京都)","上58[都営バス]"
5,432,93,"関口一丁目","上58[都営バス]"
5,432,94,"鶴巻町","上58[都営バス]"
5,432,95,"江戸川橋","上58[都営バス]"
5,432,96,"音羽一丁目","上58[都営バス]"
5,432,97,"音羽二丁目","上58[都営バス]"
5,432,98,"護国寺正門前","上58[都営バス]"
5,432,99,"大塚三丁目","上58[都営バス]"
5,432,100,"千石三丁目","上58[都営バス]"
5,432,101,"千石二丁目(文京区)","上58[都営バス]"
5,432,102,"千石一丁目(文京区)","上58[都営バス]"
5,432,103,"文京グリーンコート前","上58[都営バス]"
5,432,104,"上富士前","上58[都営バス]"
5,432,105,"本駒込五丁目","上58[都営バス]"
5,432,106,"本駒込四丁目","上58[都営バス]"
5,432,107,"動坂下","上58[都営バス]"
5,432,108,"道灌山下","上58[都営バス]"
5,432,109,"千駄木三丁目","上58[都営バス]"
5,432,110,"団子坂下","上58[都営バス]"
5,432,111,"千駄木二丁目","上58[都営バス]"
5,432,112,"根津神社入口","上58[都営バス]"
5,432,113,"根津駅前","上58[都営バス]"
5,432,61,"池之端二丁目","上58[都営バス]"
5,432,62,"池之端一丁目","上58[都営バス]"
5,432,114,"上野公園(東京都)","上58[都営バス]"
5,432,115,"上野松坂屋前","上58[都営バス]"
6,432,116,"池袋駅東口","上60[都営バス]"
6,432,117,"Hareza池袋","上60[都営バス]"
6,432,118,"六ツ又陸橋","上60[都営バス]"
6,432,119,"東池袋二丁目","上60[都営バス]"
6,432,120,"東池袋三丁目","上60[都営バス]"
6,432,121,"向原(東京都)","上60[都営バス]"
6,432,122,"新大塚","上60[都営バス]"
6,432,123,"大塚駅前(東京都)","上60[都営バス]"
6,432,124,"巣鴨小学校前","上60[都営バス]"
6,432,125,"南大塚一丁目(東京都)","上60[都営バス]"
6,432,126,"千石三丁目","上60[都営バス]"
6,432,127,"湯立坂下","上60[都営バス]"
6,432,128,"白山三丁目","上60[都営バス]"
6,432,129,"白山二丁目(東京都)","上60[都営バス]"
6,432,130,"小石川三丁目","上60[都営バス]"
6,432,131,"小石川二丁目","上60[都営バス]"
6,432,132,"春日駅前〔都営バス〕","上60[都営バス]"
6,432,133,"菊坂下","上60[都営バス]"
6,432,134,"本郷六丁目","上60[都営バス]"
6,432,135,"東大農学部前","上60[都営バス]"
6,432,136,"弥生二丁目(東京都)","上60[都営バス]"
6,432,60,"根津駅前","上60[都営バス]"
6,432,61,"池之端二丁目","上60[都営バス]"
6,432,62,"池之端一丁目","上60[都営バス]"
6,432,63,"上野広小路","上60[都営バス]"
6,432,137,"上野公園(東京都)","上60[都営バス]"
7,432,138,"小滝橋車庫前","上69(小滝橋車庫前-上野公園)[都営バス]"
7,432,139,"小滝橋〔都営バス〕","上69(小滝橋車庫前-上野公園)[都営バス]"
7,432,140,"高田馬場四丁目〔都営バス〕","上69(小滝橋車庫前-上野公園)[都営バス]"
7,432,141,"高田馬場三丁目","上69(小滝橋車庫前-上野公園)[都営バス]"
7,432,142,"高田馬場駅前","上69(小滝橋車庫前-上野公園)[都営バス]"
7,432,143,"新宿区社会福祉協議会前","上69(小滝橋車庫前-上野公園)[都営バス]"
7,432,144,"高田馬場二丁目","上69(小滝橋車庫前-上野公園)[都営バス]"
7,432,145,"西早稲田","上69(小滝橋車庫前-上野公園)[都営バス]"
7,432,146,"甘泉園公園前","上69(小滝橋車庫前-上野公園)[都営バス]"
7,432,147,"グランド坂下","上69(小滝橋車庫前-上野公園)[都営バス]"
7,432,92,"早稲田(東京都)","上69(小滝橋車庫前-上野公園)[都営バス]"
7,432,93,"関口一丁目","上69(小滝橋車庫前-上野公園)[都営バス]"
7,432,94,"鶴巻町","上69(小滝橋車庫前-上野公園)[都営バス]"
7,432,148,"江戸川橋","上69(小滝橋車庫前-上野公園)[都営バス]"
7,432,149,"石切橋","上69(小滝橋車庫前-上野公園)[都営バス]"
7,432,150,"東五軒町","上69(小滝橋車庫前-上野公園)[都営バス]"
7,432,151,"大曲(文京区)","上69(小滝橋車庫前-上野公園)[都営バス]"
7,432,152,"伝通院前","上69(小滝橋車庫前-上野公園)[都営バス]"
7,432,153,"富坂上","上69(小滝橋車庫前-上野公園)[都営バス]"
7,432,132,"春日駅前〔都営バス〕","上69(小滝橋車庫前-上野公園)[都営バス]"
7,432,154,"真砂坂上","上69(小滝橋車庫前-上野公園)[都営バス]"
7,432,155,"本郷三丁目駅前","上69(小滝橋車庫前-上野公園)[都営バス]"
7,432,156,"湯島四丁目","上69(小滝橋車庫前-上野公園)[都営バス]"
7,432,157,"湯島三丁目","上69(小滝橋車庫前-上野公園)[都営バス]"
7,432,158,"上野広小路","上69(小滝橋車庫前-上野公園)[都営バス]"
7,432,159,"上野公園(東京都)","上69(小滝橋車庫前-上野公園)[都営バス]"
8,432,160,"両国駅前","両28[都営バス]"
8,432,161,"両国駅入口","両28[都営バス]"
8,432,162,"両国四丁目","両28[都営バス]"
8,432,163,"旧安田庭園前","両28[都営バス]"
8,432,164,"都営両国駅前","両28[都営バス]"
8,432,165,"緑一丁目(東京都)","両28[都営バス]"
8,432,166,"緑二丁目","両28[都営バス]"
8,432,167,"緑三丁目(東京都)","両28[都営バス]"
8,432,168,"江東橋","両28[都営バス]"
8,432,169,"錦糸町駅前","両28[都営バス]"
8,432,170,"江東車庫前","両28[都営バス]"
8,432,171,"亀戸一丁目","両28[都営バス]"
8,432,172,"亀戸駅前","両28[都営バス]"
8,432,173,"亀戸駅通り","両28[都営バス]"
8,432,174,"五ノ橋","両28[都営バス]"
8,432,175,"西大島駅前","両28[都営バス]"
8,432,176,"大島一丁目(東京都)","両28[都営バス]"
8,432,177,"北砂三丁目","両28[都営バス]"
8,432,178,"北砂二丁目","両28[都営バス]"
8,432,179,"境川(東京都)","両28[都営バス]"
8,432,180,"北砂四丁目","両28[都営バス]"
8,432,181,"亀高橋","両28[都営バス]"
8,432,182,"東砂四丁目","両28[都営バス]"
8,432,183,"旧葛西橋","両28[都営バス]"
8,432,184,"東砂六丁目北","両28[都営バス]"
8,432,185,"葛西橋","両28[都営バス]"
8,432,186,"東砂六丁目","両28[都営バス]"
8,432,187,"葛西橋東詰","両28[都営バス]"
8,432,188,"宇喜田","両28[都営バス]"
8,432,189,"稲荷神社前(江戸川区)","両28[都営バス]"
8,432,190,"第六葛西小学校前","両28[都営バス]"
8,432,191,"スポーツセンター前(江戸川区)","両28[都営バス]"
8,432,192,"西葛西駅前","両28[都営バス]"
8,432,193,"第七葛西小学校前","両28[都営バス]"
8,432,194,"新田住宅","両28[都営バス]"
8,432,195,"中葛西七丁目","両28[都営バス]"
8,432,196,"中左近橋","両28[都営バス]"
8,432,197,"中央卸売市場葛西市場前","両28[都営バス]"
8,432,198,"臨海町三丁目","両28[都営バス]"
8,432,199,"臨海車庫前","両28[都営バス]"
8,432,200,"臨海車庫","両28[都営バス]"
9,432,160,"両国駅前","両28〔日曹橋経由〕[都営バス]"
9,432,161,"両国駅入口","両28〔日曹橋経由〕[都営バス]"
9,432,162,"両国四丁目","両28〔日曹橋経由〕[都営バス]"
9,432,163,"旧安田庭園前","両28〔日曹橋経由〕[都営バス]"
9,432,164,"都営両国駅前","両28〔日曹橋経由〕[都営バス]"
9,432,165,"緑一丁目(東京都)","両28〔日曹橋経由〕[都営バス]"
9,432,166,"緑二丁目","両28〔日曹橋経由〕[都営バス]"
9,432,167,"緑三丁目(東京都)","両28〔日曹橋経由〕[都営バス]"
9,432,168,"江東橋","両28〔日曹橋経由〕[都営バス]"
9,432,169,"錦糸町駅前","両28〔日曹橋経由〕[都営バス]"
9,432,170,"江東車庫前","両28〔日曹橋経由〕[都営バス]"
9,432,171,"亀戸一丁目","両28〔日曹橋経由〕[都営バス]"
9,432,173,"亀戸駅通り","両28〔日曹橋経由〕[都営バス]"
9,432,174,"五ノ橋","両28〔日曹橋経由〕[都営バス]"
9,432,175,"西大島駅前","両28〔日曹橋経由〕[都営バス]"
9,432,176,"大島一丁目(東京都)","両28〔日曹橋経由〕[都営バス]"
9,432,177,"北砂三丁目","両28〔日曹橋経由〕[都営バス]"
9,432,178,"北砂二丁目","両28〔日曹橋経由〕[都営バス]"
9,432,201,"境川(東京都)","両28〔日曹橋経由〕[都営バス]"
9,432,202,"南砂三丁目","両28〔日曹橋経由〕[都営バス]"
9,432,203,"日曹橋","両28〔日曹橋経由〕[都営バス]"
9,432,204,"南砂町駅入口","両28〔日曹橋経由〕[都営バス]"
9,432,205,"新砂三丁目アパート","両28〔日曹橋経由〕[都営バス]"
9,432,206,"江東高齢者医療センター入口","両28〔日曹橋経由〕[都営バス]"
9,432,207,"清砂大橋西","両28〔日曹橋経由〕[都営バス]"
9,432,208,"清新町健康サポートセンター前","両28〔日曹橋経由〕[都営バス]"
9,432,209,"西葛西駅南","両28〔日曹橋経由〕[都営バス]"
9,432,193,"第七葛西小学校前","両28〔日曹橋経由〕[都営バス]"
9,432,194,"新田住宅","両28〔日曹橋経由〕[都営バス]"
9,432,195,"中葛西七丁目","両28〔日曹橋経由〕[都営バス]"
9,432,196,"中左近橋","両28〔日曹橋経由〕[都営バス]"
9,432,197,"中央卸売市場葛西市場前","両28〔日曹橋経由〕[都営バス]"
9,432,198,"臨海町三丁目","両28〔日曹橋経由〕[都営バス]"
9,432,199,"臨海車庫前","両28〔日曹橋経由〕[都営バス]"
9,432,200,"臨海車庫","両28〔日曹橋経由〕[都営バス]"
10,432,210,"東陽町駅前","亀21[都営バス]"
10,432,211,"江東運転免許試験場前","亀21[都営バス]"
10,432,212,"日曹橋","亀21[都営バス]"
10,432,213,"南砂三丁目","亀21[都営バス]"
10,432,214,"福島橋(東京都)","亀21[都営バス]"
10,432,215,"学校通り","亀21[都営バス]"
10,432,216,"南砂六丁目","亀21[都営バス]"
10,432,217,"元八幡(東京都)","亀21[都営バス]"
10,432,218,"袖ヶ浦","亀21[都営バス]"
10,432,219,"東砂六丁目","亀21[都営バス]"
10,432,220,"旧葛西橋","亀21[都営バス]"
10,432,221,"東砂四丁目","亀21[都営バス]"
10,432,222,"亀高橋","亀21[都営バス]"
10,432,223,"北砂七丁目","亀21[都営バス]"
10,432,224,"北砂五丁目","亀21[都営バス]"
10,432,225,"北砂六丁目","亀21[都営バス]"
10,432,226,"大島五丁目(東京都)","亀21[都営バス]"
10,432,227,"大島駅前","亀21[都営バス]"
10,432,228,"城東特別支援学校前","亀21[都営バス]"
10,432,229,"竪川大橋北詰","亀21[都営バス]"
10,432,230,"亀戸六丁目","亀21[都営バス]"
10,432,231,"水神森","亀21[都営バス]"
10,432,232,"亀戸駅前","亀21[都営バス]"
11,432,172,"亀戸駅前","亀23(亀戸駅前-江東高齢者医療センター)[都営バス]"
11,432,173,"亀戸駅通り","亀23(亀戸駅前-江東高齢者医療センター)[都営バス]"
11,432,174,"五ノ橋","亀23(亀戸駅前-江東高齢者医療センター)[都営バス]"
11,432,233,"西大島駅前","亀23(亀戸駅前-江東高齢者医療センター)[都営バス]"
11,432,176,"大島一丁目(東京都)","亀23(亀戸駅前-江東高齢者医療センター)[都営バス]"
11,432,234,"小名木川小学校入口","亀23(亀戸駅前-江東高齢者医療センター)[都営バス]"
11,432,235,"北砂五丁目団地","亀23(亀戸駅前-江東高齢者医療センター)[都営バス]"
11,432,236,"北砂六丁目","亀23(亀戸駅前-江東高齢者医療センター)[都営バス]"
11,432,237,"北砂五丁目","亀23(亀戸駅前-江東高齢者医療センター)[都営バス]"
11,432,238,"北砂七丁目","亀23(亀戸駅前-江東高齢者医療センター)[都営バス]"
11,432,239,"亀高橋","亀23(亀戸駅前-江東高齢者医療センター)[都営バス]"
11,432,240,"南砂五丁目団地","亀23(亀戸駅前-江東高齢者医療センター)[都営バス]"
