バス会社名称,路線名称,バス停名称,緯度,経度,ID,路線ID,停車順番
都営バス,上23(上野松坂屋前-平井駅前)[都営バス],上野松坂屋前,35.70699,139.772551,0,1,1
都営バス,上23(上野松坂屋前-平井駅前)[都営バス],上野公園山下,35.711086,139.773964,1,1,2
都営バス,上23(上野松坂屋前-平井駅前)[都営バス],上野駅前,35.711844,139.776963,2,1,3
都営バス,上23(上野松坂屋前-平井駅前)[都営バス],下谷神社前,35.711746,139.781106,3,1,4
都営バス,上23(上野松坂屋前-平井駅前)[都営バス],東上野六丁目,35.711181,139.784291,4,1,5
都営バス,上23(上野松坂屋前-平井駅前)[都営バス],菊屋橋,35.710618,139.787478,5,1,6
都営バス,上23(上野松坂屋前-平井駅前)[都営バス],浅草寿町,35.710306,139.791438,6,1,7
都営バス,上23(上野松坂屋前-平井駅前)[都営バス],浅草一丁目,35.711467,139.792638,7,1,8
都営バス,上23(上野松坂屋前-平井駅前)[都営バス],浅草雷門,35.711117,139.795364,8,1,9
都営バス,上23(上野松坂屋前-平井駅前)[都営バス],リバーピア吾妻橋前,35.70948,139.800342,9,1,10
都営バス,上23(上野松坂屋前-平井駅前)[都営バス],墨田区役所前,35.710506,139.80197,10,1,11
都営バス,上23(上野松坂屋前-平井駅前)[都営バス],本所吾妻橋,35.708771,139.805128,11,1,12
都営バス,上23(上野松坂屋前-平井駅前)[都営バス],とうきょうスカイツリー駅入口,35.70897,139.809239,12,1,13
都営バス,上23(上野松坂屋前-平井駅前)[都営バス],押上,35.709129,139.812915,13,1,14
都営バス,上23(上野松坂屋前-平井駅前)[都営バス],十間橋(東京都),35.708188,139.817373,14,1,15
都営バス,上23(上野松坂屋前-平井駅前)[都営バス],十間橋通り,35.710932,139.820614,15,1,16
都営バス,上23(上野松坂屋前-平井駅前)[都営バス],文花三丁目,35.712282,139.824345,16,1,17
都営バス,上23(上野松坂屋前-平井駅前)[都営バス],中居堀,35.713058,139.82669,17,1,18
都営バス,上23(上野松坂屋前-平井駅前)[都営バス],八広二丁目,35.715836,139.828651,18,1,19
都営バス,上23(上野松坂屋前-平井駅前)[都営バス],社会福祉会館前(東京都),35.718762,139.829807,19,1,20
