バス停ID,バス会社名称,バス停名称,緯度,経度
1,都営バス,上野松坂屋前,35.70699,139.772551
2,都営バス,上野公園山下,35.711086,139.773964
3,都営バス,上野駅前,35.711844,139.776963
4,都営バス,下谷神社前,35.711746,139.781106
5,都営バス,東上野六丁目,35.711181,139.784291
6,都営バス,菊屋橋,35.710618,139.787478
7,都営バス,浅草寿町,35.710306,139.791438
8,都営バス,浅草一丁目,35.711467,139.792638
9,都営バス,浅草雷門,35.711117,139.795364
10,都営バス,リバーピア吾妻橋前,35.70948,139.800342
11,都営バス,墨田区役所前,35.710506,139.80197
12,都営バス,本所吾妻橋,35.708771,139.805128
13,都営バス,とうきょうスカイツリー駅入口,35.70897,139.809239
14,都営バス,押上,35.709129,139.812915
15,都営バス,十間橋(東京都),35.708188,139.817373
16,都営バス,十間橋通り,35.710932,139.820614
17,都営バス,文花三丁目,35.712282,139.824345
18,都営バス,中居堀,35.713058,139.82669
19,都営バス,八広二丁目,35.715836,139.828651
20,都営バス,社会福祉会館前(東京都),35.718762,139.829807
21,都営バス,東墨田二丁目,35.721817,139.830764
22,都営バス,東墨田会館前,35.721302,139.832463
23,都営バス,東墨田三丁目,35.719013,139.834126
24,都営バス,東墨田一丁目,35.716139,139.832904
25,都営バス,平井七丁目第三アパート前,35.715068,139.835041
26,都営バス,中平井(江戸川区),35.716271,139.835793
27,都営バス,平井七丁目北公園前,35.716786,139.837784
28,都営バス,平井七丁目,35.714958,139.842319
29,都営バス,平井六丁目交番前,35.712406,139.842252
30,都営バス,平井小学校前(東京都),35.710057,139.841877
31,都営バス,平井駅前,35.706681,139.841922
32,都営バス,青戸車庫前,35.743776,139.843356
33,都営バス,梅田小学校前,35.740399,139.840015
34,都営バス,葛飾警察署前〔都営バス〕,35.737673,139.837073
35,都営バス,よつぎ小学校前,35.736099,139.834953
36,都営バス,四ツ木橋,35.734579,139.8327
37,都営バス,四ツ木橋南詰,35.729557,139.826212
38,都営バス,八広,35.7265,139.827673
