市区町村名,緯度,経度,区内バス停ID,バス会社名称,バス停名称,バス停数
品川区,35.608385,139.758458,1,都営バス,２号バース前,2
品川区,35.605642,139.759422,2,都営バス,３号バース前,1
品川区,35.603909,139.761052,3,都営バス,４号バース前,2
品川区,35.600723,139.762069,4,都営バス,５号バース前,1
品川区,35.597349,139.76383,5,都営バス,６号バース前,2
港区,35.660728,139.727207,6,都営バス,ＥＸシアター六本木前,2
北区,35.769841,139.707102,8,国際興業（株）,ＨＰＳＣ北門,2
北区,35.767874,139.709602,10,国際興業（株）,ＨＰＳＣ南,4
北区,35.770544,139.709588,14,国際興業（株）,ＨＰＳＣ陸上門,2
豊島区,35.732676,139.715072,16,都営バス,Ｈａｒｅｚａ池袋,None
豊島区,35.732272,139.715749,18,豊島区,Ｈａｒｅｚａ池袋〔ＩＫＥＢＵＳ〕,None
豊島区,35.732085,139.71657,19,国際興業（株）,Ｈａｒｅｚａ池袋東,1
江東区,35.657632,139.793149,20,都営バス,ＩＨＩ前,None
豊島区,35.727493,139.722052,22,豊島区,ＩＫＥ・ＳＵＮＰＡＲＫ,1
練馬区,35.735016,139.600022,23,練馬区,ＪＡ東京あおば,None
大田区,35.586914,139.747104,25,京成バス（株）,ＪＭＴダイナベース,1
大田区,35.586861,139.744057,26,京成バス（株）,ＪＭＴ京浜トラックターミナル,1
台東区,35.714945,139.776635,27,台東区,ＪＲ上野駅公園口,None
中央区,35.687858,139.773422,28,日の丸自動車興業,ＪＲ新日本橋駅［中外製薬前］,None
北区,35.754527,139.736794,30,北区,ＪＲ王子駅〔Ｋバス〕,None
北区,35.738261,139.759644,31,北区,ＪＲ田端駅〔Ｋバス〕,None
豊島区,35.736015,139.747501,32,北区,ＪＲ駒込駅〔Ｋバス〕,None
渋谷区,35.655381,139.697808,33,渋谷区,ＪＴ前,None
世田谷区,35.635202,139.615835,34,小田急バス（株）,ＮＨＫ技研前,None
世田谷区,35.634432,139.615872,35,東急バス（株）,ＮＨＫ技術研究所,None
大田区,35.586576,139.732006,37,京成バス（株）,ＮＴＴ大森,3
江戸川区,35.710472,139.873969,40,都営バス,ＮＴＴ江戸川支店前,2
中央区,35.680893,139.772842,41,高速バス,ＶＩＰラウンジ東京駅八重洲北口,None
足立区,35.804119,139.815368,43,東武バス,あいぐみ公園前,2
中央区,35.666735,139.775626,45,中央区,あかつき公園,1
練馬区,35.76006,139.630417,46,練馬区,あかね雲公園,None
練馬区,35.732994,139.590386,50,西武バス（株）,あたご橋,None
足立区,35.74661,139.800345,52,足立区,あだち産業芸術プラザ入口,2
大田区,35.562727,139.720926,54,京成バス（株）,あやめ橋,None
足立区,35.785145,139.783566,56,国際興業（株）,いかづち公園前,2
千代田区,35.687291,139.739681,57,千代田区,いきいきプラザ一番町,1
品川区,35.589163,139.732685,58,京成バス（株）,いすゞ病院前,None
足立区,35.760282,139.785441,59,足立区,いずみ記念病院,None
足立区,35.760295,139.785536,61,足立区,いずみ記念病院入口,None
足立区,35.761221,139.785687,63,東武バス,いずみ記念病院前,2
板橋区,35.774438,139.655493,64,板橋区,おいせ坂上,None
港区,35.634434,139.776338,66,nan,お台場学園前,1
港区,35.629539,139.778357,67,nan,お台場海浜公園駅前,None
葛飾区,35.748013,139.841191,70,葛飾区,お花茶屋駅,None
江東区,35.639631,139.793466,72,都営バス,かえつ学園西,1
千代田区,35.693979,139.752305,73,千代田区,かがやきプラザ［九段坂病院］,1
台東区,35.717916,139.78984,74,東武バス,かっぱ橋道具街入口,1
板橋区,35.75143,139.681905,75,国際興業（株）,かみのね橋,3
千代田区,35.696604,139.768511,77,千代田区,かんだ連雀,1
渋谷区,35.664918,139.701363,78,渋谷区,かんなみの杜・渋谷,2
江東区,35.633504,139.794424,80,都営バス,がん研有明病院前,1
江戸川区,35.67293,139.861951,81,都営バス,くすのきカルチャーセンター前,2
目黒区,35.638928,139.698026,82,東急バス（株）,けこぼ坂上,2
荒川区,35.730678,139.801495,83,京成バス（株）,けんちの苑,2
世田谷区,35.625419,139.593406,84,小田急バス（株）,こまえ苑,None
