市区町村名,緯度,経度
台東区,35.70699,139.772551
台東区,35.711086,139.773964
台東区,35.711844,139.776963
台東区,35.711746,139.781106
台東区,35.711181,139.784291
台東区,35.710618,139.787478
台東区,35.710306,139.791438
台東区,35.711467,139.792638
台東区,35.711117,139.795364
墨田区,35.70948,139.800342
墨田区,35.710506,139.80197
墨田区,35.708771,139.805128
墨田区,35.70897,139.809239
墨田区,35.709129,139.812915
墨田区,35.708188,139.817373
墨田区,35.710932,139.820614
墨田区,35.712282,139.824345
墨田区,35.713058,139.82669
墨田区,35.715836,139.828651
墨田区,35.718762,139.829807
墨田区,35.721817,139.830764
墨田区,35.721302,139.832463
墨田区,35.719013,139.834126
墨田区,35.716139,139.832904
江戸川区,35.715068,139.835041
江戸川区,35.716271,139.835793
江戸川区,35.716786,139.837784
江戸川区,35.714958,139.842319
江戸川区,35.712406,139.842252
江戸川区,35.710057,139.841877
江戸川区,35.706681,139.841922
葛飾区,35.743776,139.843356
葛飾区,35.740399,139.840015
葛飾区,35.737673,139.837073
葛飾区,35.736099,139.834953
葛飾区,35.734579,139.8327
墨田区,35.729557,139.826212
墨田区,35.7265,139.827673
墨田区,35.723982,139.83041
江東区,35.698022,139.825505
江東区,35.701609,139.82469
江東区,35.701387,139.820407
墨田区,35.70124,139.817428
墨田区,35.701779,139.814549
墨田区,35.703856,139.814373
墨田区,35.70639,139.814138
墨田区,35.708309,139.813736
墨田区,35.710019,139.808381
墨田区,35.712529,139.806206
台東区,35.715297,139.800519
台東区,35.71612,139.796977
台東区,35.716714,139.794645
台東区,35.717403,139.791914
台東区,35.717901,139.789932
台東区,35.71907,139.786083
台東区,35.720024,139.78292
台東区,35.720928,139.780741
台東区,35.7224,139.77407
台東区,35.721117,139.77108
文京区,35.717628,139.765594
台東区,35.715215,139.767539
台東区,35.71224,139.768683
文京区,35.707969,139.772295
台東区,35.709754,139.771856
荒川区,35.733403,139.799884
荒川区,35.734972,139.801649
荒川区,35.735708,139.804288
荒川区,35.73784,139.805869
荒川区,35.738355,139.809051
荒川区,35.737897,139.811085
荒川区,35.737099,139.809216
荒川区,35.736375,139.807867
荒川区,35.734524,139.80804
荒川区,35.732736,139.808323
荒川区,35.731442,139.804518
荒川区,35.730305,139.800611
荒川区,35.731361,139.798429
台東区,35.726729,139.800694
台東区,35.724209,139.797731
台東区,35.721605,139.797015
台東区,35.719967,139.795443
台東区,35.717413,139.794418
台東区,35.714073,139.792665
台東区,35.71218,139.792268
台東区,35.709687,139.790577
台東区,35.710296,139.78754
台東区,35.711014,139.783446
台東区,35.711451,139.781017
台東区,35.711409,139.775325
台東区,35.710813,139.774163
台東区,35.709104,139.773546
新宿区,35.711071,139.722139
文京区,35.71055,139.724001
文京区,35.709888,139.726772
文京区,35.711332,139.73113
文京区,35.713521,139.730107
文京区,35.717834,139.727949
文京区,35.720836,139.728917
文京区,35.721631,139.732453
文京区,35.723208,139.736749
文京区,35.726069,139.740962
文京区,35.729135,139.744229
文京区,35.730713,139.746767
文京区,35.732767,139.749811
文京区,35.733556,139.753831
文京区,35.733232,139.757023
文京区,35.731988,139.759094
文京区,35.730318,139.761952
文京区,35.728119,139.763653
文京区,35.724449,139.763045
文京区,35.722233,139.762402
文京区,35.720326,139.762908
文京区,35.718279,139.764951
台東区,35.709534,139.771644
台東区,35.707551,139.772786
豊島区,35.730811,139.71267
豊島区,35.732676,139.715072
豊島区,35.732581,139.71876
豊島区,35.731577,139.720688
豊島区,35.730056,139.723514
豊島区,35.728914,139.725458
豊島区,35.726211,139.729547
豊島区,35.730909,139.729096
豊島区,35.727539,139.733466
豊島区,35.725709,139.735423
文京区,35.723869,139.737034
文京区,35.721106,139.740102
文京区,35.719425,139.741776
文京区,35.717174,139.745132
文京区,35.715276,139.747925
文京区,35.712439,139.75139
文京区,35.708621,139.752546
文京区,35.711476,139.754627
文京区,35.713236,139.756601
文京区,35.715504,139.759472
文京区,35.716421,139.762826
台東区,35.709673,139.771601
中野区,35.710359,139.693351
新宿区,35.710041,139.694533
新宿区,35.711524,139.696555
新宿区,35.712317,139.699392
新宿区,35.713793,139.704173
新宿区,35.71206,139.70758
新宿区,35.711391,139.710815
新宿区,35.709631,139.715779
新宿区,35.711474,139.716931
新宿区,35.71143,139.720847
文京区,35.710184,139.730342
文京区,35.709176,139.735413
新宿区,35.708696,139.738806
文京区,35.708033,139.744147
文京区,35.709904,139.7461
文京区,35.709152,139.748887
文京区,35.707464,139.757444
文京区,35.707543,139.759685
文京区,35.707513,139.764766
文京区,35.70846,139.768286
台東区,35.708735,139.77307
台東区,35.709401,139.770912
墨田区,35.695244,139.792064
墨田区,35.694417,139.793033
墨田区,35.694542,139.795319
墨田区,35.698971,139.794122
墨田区,35.697364,139.797268
墨田区,35.69472,139.798593
墨田区,35.694927,139.802116
墨田区,35.695167,139.806456
墨田区,35.69551,139.810366
墨田区,35.695733,139.814168
墨田区,35.696149,139.817585
江東区,35.696495,139.820844
江東区,35.697835,139.825749
江東区,35.695619,139.825991
江東区,35.692398,139.826234
江東区,35.689023,139.826517
江東区,35.686545,139.826735
江東区,35.68183,139.827576
江東区,35.679563,139.827606
江東区,35.677101,139.827911
江東区,35.676722,139.831092
江東区,35.676295,139.834501
江東区,35.675821,139.838232
江東区,35.675479,139.840845
江東区,35.674139,139.842824
江東区,35.672082,139.842452
江東区,35.672895,139.840869
江戸川区,35.670721,139.854157
江戸川区,35.670186,139.857698
江戸川区,35.669501,139.862155
江戸川区,35.667178,139.865616
江戸川区,35.66734,139.860167
江戸川区,35.664343,139.859217
江戸川区,35.658891,139.859139
江戸川区,35.657376,139.861212
江戸川区,35.656174,139.863876
江戸川区,35.652623,139.863599
江戸川区,35.64957,139.862393
江戸川区,35.648263,139.860642
江戸川区,35.647389,139.85946
江戸川区,35.646976,139.858932
江東区,35.676593,139.827155
江東区,35.673019,139.826566
江東区,35.671114,139.826141
江東区,35.667505,139.831492
江東区,35.666455,139.833916
江東区,35.666768,139.833811
江東区,35.665824,139.837215
江戸川区,35.663132,139.856205
