市区町村名,緯度,緯度,経度,経度,区内バス停ID,会社名称,路線名称,どこからどこまで,行き方面,帰り方面,バス停名称,url,同じバス停
error,None,None,None,None,1,都バス２３区,品９８,品川駅港南口～大田市場,大田市場方面,品川駅港南口方面,大田市場,https://mb.jorudan.co.jp//os/bus/1301/stop/40878.html,
error,35.63119139,35.63119139,139.7539972,139.7539972,2,都バス２３区,品９９,品川駅港南口～品川埠頭岸壁入口,品川駅港南口方面,品川駅港南口方面,港南大橋,https://mb.jorudan.co.jp//os/bus/1301/stop/40770.html,
error,None,None,None,None,3,都バス２３区,市０１急行,新橋駅前～豊洲市場,豊洲市場方面,新橋駅前方面,豊洲市場,https://mb.jorudan.co.jp//os/bus/1301/stop/236882.html,
error,None,None,None,None,4,都バス２３区,江東０１,潮見駅前～辰巳一丁目北,潮見駅前方面,潮見駅前方面,潮見駅前,https://mb.jorudan.co.jp//os/bus/1301/stop/41258.html,
error,None,None,None,None,5,都バス２３区,深夜１１,王子駅前～新田二丁目,新田二丁目方面,王子駅前方面,新田二丁目,https://mb.jorudan.co.jp//os/bus/1301/stop/41271.html,
error,None,None,None,None,6,都バス２３区,渋８８出入,新宿車庫前～渋谷駅西口,渋谷駅西口方面,新宿車庫前方面,渋谷駅西口,https://mb.jorudan.co.jp//os/bus/1301/stop/41597.html,
error,None,None,None,None,7,都バス２３区,渋８８出入,新宿車庫前～渋谷駅西口,新宿車庫前方面,渋谷駅東口方面,宮下公園,https://mb.jorudan.co.jp//os/bus/1301/stop/41597.html,
error,None,None,None,None,8,都バス２３区,王４０甲,池袋駅東口～西新井駅前,西新井駅前方面,池袋駅東口方面,池袋駅東口１０番のりば,https://mb.jorudan.co.jp//os/bus/1301/stop/41924.html,
error,None,None,None,None,9,都バス２３区,王４０甲,池袋駅東口～西新井駅前,西新井駅前方面,池袋駅東口方面,西新井陸橋,https://mb.jorudan.co.jp//os/bus/1301/stop/40602.html,
error,None,None,None,None,10,都バス２３区,王４０甲,池袋駅東口～西新井駅前,池袋駅東口方面,西新井駅前方面,Ｈａｒｅｚａ池袋,https://mb.jorudan.co.jp//os/bus/1301/stop/41924.html,
error,None,None,None,None,11,都バス２３区,王４０甲,池袋駅東口～西新井駅前,池袋駅東口方面,西新井駅前方面,西新井駅前,https://mb.jorudan.co.jp//os/bus/1301/stop/40602.html,
error,None,None,None,None,12,都バス２３区,白６１出入,練馬車庫前～目白駅前,目白駅前方面,練馬車庫前方面,目白駅前,https://mb.jorudan.co.jp//os/bus/1301/stop/41637.html,
error,None,None,None,None,13,都バス２３区,直行０２,豊海水産埠頭～東京駅八重洲口,東京駅八重洲口方面,豊海水産埠頭方面,東京駅八重洲口,https://mb.jorudan.co.jp//os/bus/1301/stop/41682.html,
error,None,None,None,None,14,都バス２３区,直行０３,錦糸町駅前～日本科学未来館,日本科学未来館方面,錦糸町駅前方面,日本科学未来館,https://mb.jorudan.co.jp//os/bus/1301/stop/41128.html,
error,None,None,None,None,15,都バス２３区,都０５－１出入,深川車庫前～晴海埠頭,晴海埠頭方面,深川車庫前方面,晴海埠頭,https://mb.jorudan.co.jp//os/bus/1301/stop/40520.html,
error,None,None,None,None,16,都バス２３区,都０５－１出入,深川車庫前～晴海埠頭,東京駅丸の内南口方面,深川車庫前方面,築地六丁目,https://mb.jorudan.co.jp//os/bus/1301/stop/40520.html,
error,None,None,None,None,17,都バス２３区,都０５－１出入,深川車庫前～晴海埠頭,深川車庫前方面,東京駅丸の内南口方面,勝どき駅前,https://mb.jorudan.co.jp//os/bus/1301/stop/40520.html,
error,None,None,None,None,18,都バス２３区,里４８－３,江北駅前～扇三丁目,江北駅前方面,江北駅前方面,江北駅前,https://mb.jorudan.co.jp//os/bus/1301/stop/41595.html,
error,None,None,None,None,19,都バス２３区,錦１３出入,晴海埠頭～深川車庫前,深川車庫前方面,晴海埠頭方面,深川車庫前,https://mb.jorudan.co.jp//os/bus/1301/stop/40489.html,
error,None,None,None,None,20,都バス２３区,錦１８,錦糸町駅前～新木場駅前［構内］,新木場駅前［構内］方面,錦糸町駅前方面,東京地下鉄総合運動場前,https://mb.jorudan.co.jp//os/bus/1301/stop/41309.html,
error,None,None,None,None,21,都バス２３区,錦１８,錦糸町駅前～新木場駅前［構内］,錦糸町駅前方面,新木場駅前［構内］方面,新東京郵便局前,https://mb.jorudan.co.jp//os/bus/1301/stop/41309.html,
error,None,None,None,None,22,都バス２３区,錦２７－３,東大島駅前～錦糸町駅前,錦糸町駅前方面,東大島駅前方面,錦糸町駅前,https://mb.jorudan.co.jp//os/bus/1301/stop/41005.html,
error,None,None,None,None,23,都バス２３区,ＣＨ０１,新宿駅西口～都議会議事堂,新宿駅西口方面,新宿駅西口方面,新宿駅西口,https://mb.jorudan.co.jp//os/bus/1301/stop/41058.html,
