市区町村名,緯度,緯度,経度,経度,区内バス停ID,会社名称,路線名称,どこからどこまで,行き方面,帰り方面,バス停名称,url,同じバス停
文京区,35.71318833,35.71318833,139.7640986,139.7640986,1,都バス２３区,上０１,東大構内～上野松坂屋前,東大構内方面,東大構内方面,東大構内,https://mb.jorudan.co.jp//os/bus/1301/stop/41502.html,
文京区,35.71092639,35.71092639,139.763885,139.763885,2,都バス２３区,上０１,東大構内～上野松坂屋前,東大構内方面,東大構内方面,東大病院前,https://mb.jorudan.co.jp//os/bus/1301/stop/41493.html,
文京区,35.70822167,35.70822167,139.7636714,139.7636714,3,都バス２３区,上０１,東大構内～上野松坂屋前,東大構内方面,東大構内方面,竜岡門,https://mb.jorudan.co.jp//os/bus/1301/stop/41324.html,
文京区,35.70748917,35.70748917,139.7647394,139.7647394,4,都バス２３区,上０１,東大構内～上野松坂屋前,東大構内方面,東大構内方面,湯島四丁目,https://mb.jorudan.co.jp//os/bus/1301/stop/40893.html,
文京区,35.70814167,35.70814167,139.7694086,139.7694086,5,都バス２３区,上０１,東大構内～上野松坂屋前,東大構内方面,東大構内方面,湯島三丁目,https://mb.jorudan.co.jp//os/bus/1301/stop/41172.html,
文京区,35.70796222,35.70796222,139.7722619,139.7722619,6,都バス２３区,上０１,東大構内～上野松坂屋前,東大構内方面,東大構内方面,上野広小路,https://mb.jorudan.co.jp//os/bus/1301/stop/41362.html,
台東区,35.71128111,35.71128111,139.7741083,139.7741083,7,都バス２３区,上０１,東大構内～上野松坂屋前,東大構内方面,東大構内方面,上野公園山下,https://mb.jorudan.co.jp//os/bus/1301/stop/40555.html,
台東区,35.70779833,35.70779833,139.7740167,139.7740167,8,都バス２３区,上０１,東大構内～上野松坂屋前,東大構内方面,東大構内方面,上野松坂屋前,https://mb.jorudan.co.jp//os/bus/1301/stop/41426.html,
江戸川区,35.70665389,35.70665389,139.8418878,139.8418878,9,都バス２３区,上２３,平井駅前～上野松坂屋前,上野松坂屋前方面,平井駅前方面,平井駅前,https://mb.jorudan.co.jp//os/bus/1301/stop/41911.html,
江戸川区,35.710045,35.710045,139.8417964,139.8417964,10,都バス２３区,上２３,平井駅前～上野松坂屋前,上野松坂屋前方面,平井駅前方面,平井小学校前,https://mb.jorudan.co.jp//os/bus/1301/stop/41745.html,
