市区町村名,緯度,経度,区内バス停ID,バス会社名称,バス停名称
品川区,35.608385,139.758458,1,都営バス,2号バース前
品川区,35.605642,139.759422,2,都営バス,3号バース前
品川区,35.603909,139.761052,3,都営バス,4号バース前
品川区,35.600723,139.762069,4,都営バス,5号バース前
品川区,35.597349,139.76383,5,都営バス,6号バース前
港区,35.660728,139.727207,6,都営バス,EXシアター六本木前
港区,35.661256,139.727607,7,都営バス,EXシアター六本木前
北区,35.769841,139.707102,8,国際興業（株）,HPSC北門
北区,35.769719,139.706979,9,国際興業（株）,HPSC北門
北区,35.767874,139.709602,10,国際興業（株）,HPSC南
北区,35.766185,139.71005,11,国際興業（株）,HPSC南
北区,35.767626,139.709467,12,国際興業（株）,HPSC南
北区,35.766674,139.710082,13,国際興業（株）,HPSC南
北区,35.770544,139.709588,14,国際興業（株）,HPSC陸上門
北区,35.769702,139.708985,15,国際興業（株）,HPSC陸上門
豊島区,35.732676,139.715072,16,都営バス,Hareza池袋
豊島区,35.732477,139.71521,17,国際興業（株）,Hareza池袋
豊島区,35.732272,139.715749,18,豊島区,Hareza池袋〔IKEBUS〕
豊島区,35.732085,139.71657,19,国際興業（株）,Hareza池袋東
江東区,35.657632,139.793149,20,都営バス,IHI前
江東区,35.658654,139.792772,21,都営バス,IHI前
豊島区,35.727493,139.722052,22,豊島区,IKE・SUNPARK
練馬区,35.735016,139.600022,23,練馬区,JA東京あおば
練馬区,35.734937,139.599939,24,西武バス（株）,JA東京あおば
大田区,35.586914,139.747104,25,京成バス（株）,JMTダイナベース
大田区,35.586861,139.744057,26,京成バス（株）,JMT京浜トラックターミナル
台東区,35.714945,139.776635,27,台東区,JR上野駅公園口
中央区,35.687858,139.773422,28,日の丸自動車興業,JR新日本橋駅[中外製薬前]
中央区,35.688231,139.773284,29,中央区,JR新日本橋駅[中外製薬前]
北区,35.754527,139.736794,30,北区,JR王子駅〔Kバス〕
北区,35.738261,139.759644,31,北区,JR田端駅〔Kバス〕
豊島区,35.736015,139.747501,32,北区,JR駒込駅〔Kバス〕
渋谷区,35.655381,139.697808,33,渋谷区,JT前
世田谷区,35.635202,139.615835,34,小田急バス（株）,NHK技研前
世田谷区,35.634432,139.615872,35,東急バス（株）,NHK技術研究所
世田谷区,35.635251,139.616795,36,東急バス（株）,NHK技術研究所
大田区,35.586576,139.732006,37,京成バス（株）,NTT大森
大田区,35.587416,139.732011,38,京成バス（株）,NTT大森
大田区,35.587187,139.731495,39,京成バス（株）,NTT大森
江戸川区,35.710472,139.873969,40,都営バス,NTT江戸川支店前
中央区,35.680893,139.772842,41,高速バス,VIPラウンジ東京駅八重洲北口
中央区,35.681773,139.771306,42,高速バス,VIPラウンジ東京駅八重洲北口
足立区,35.804119,139.815368,43,東武バス,あいぐみ公園前
足立区,35.804099,139.815254,44,東武バス,あいぐみ公園前
中央区,35.666735,139.775626,45,中央区,あかつき公園
練馬区,35.76006,139.630417,46,練馬区,あかね雲公園
練馬区,35.760234,139.630541,47,練馬区,あかね雲公園
練馬区,35.760204,139.630511,48,練馬区,あかね雲公園
練馬区,35.760053,139.630414,49,西武バス（株）,あかね雲公園
練馬区,35.732994,139.590386,50,西武バス（株）,あたご橋
練馬区,35.73318,139.590368,51,西武バス（株）,あたご橋
足立区,35.74661,139.800345,52,足立区,あだち産業芸術プラザ入口
足立区,35.746625,139.800646,53,足立区,あだち産業芸術プラザ入口
大田区,35.562727,139.720926,54,京成バス（株）,あやめ橋
大田区,35.562925,139.720982,55,京成バス（株）,あやめ橋
足立区,35.785145,139.783566,56,国際興業（株）,いかづち公園前
千代田区,35.687291,139.739681,57,千代田区,いきいきプラザ一番町
品川区,35.589163,139.732685,58,京成バス（株）,いすゞ病院前
足立区,35.760282,139.785441,59,足立区,いずみ記念病院
足立区,35.760271,139.783408,60,足立区,いずみ記念病院
足立区,35.760295,139.785536,61,足立区,いずみ記念病院入口
足立区,35.759847,139.782671,62,東武バス,いずみ記念病院入口
足立区,35.761221,139.785687,63,東武バス,いずみ記念病院前
板橋区,35.774438,139.655493,64,板橋区,おいせ坂上
板橋区,35.774507,139.655614,65,国際興業（株）,おいせ坂上
港区,35.634434,139.776338,66,,お台場学園前
港区,35.629539,139.778357,67,,お台場海浜公園駅前
港区,35.629606,139.778073,68,,お台場海浜公園駅前
