路線ID,停車順番,バス会社ID,バス停ID,バス停名称,路線名称
1,1,432.0,1,上野松坂屋前,上23(上野松坂屋前-平井駅前)[都営バス]
1,2,432.0,2,上野公園山下,上23(上野松坂屋前-平井駅前)[都営バス]
1,3,432.0,3,上野駅前,上23(上野松坂屋前-平井駅前)[都営バス]
1,4,432.0,4,下谷神社前,上23(上野松坂屋前-平井駅前)[都営バス]
1,5,432.0,5,東上野六丁目,上23(上野松坂屋前-平井駅前)[都営バス]
1,6,432.0,6,菊屋橋,上23(上野松坂屋前-平井駅前)[都営バス]
1,7,432.0,7,浅草寿町,上23(上野松坂屋前-平井駅前)[都営バス]
1,8,432.0,8,浅草一丁目,上23(上野松坂屋前-平井駅前)[都営バス]
1,9,432.0,9,浅草雷門,上23(上野松坂屋前-平井駅前)[都営バス]
1,10,432.0,10,リバーピア吾妻橋前,上23(上野松坂屋前-平井駅前)[都営バス]
1,11,432.0,11,墨田区役所前,上23(上野松坂屋前-平井駅前)[都営バス]
1,12,432.0,12,本所吾妻橋,上23(上野松坂屋前-平井駅前)[都営バス]
1,13,432.0,13,とうきょうスカイツリー駅入口,上23(上野松坂屋前-平井駅前)[都営バス]
1,14,432.0,14,押上,上23(上野松坂屋前-平井駅前)[都営バス]
1,15,432.0,15,十間橋(東京都),上23(上野松坂屋前-平井駅前)[都営バス]
1,16,432.0,16,十間橋通り,上23(上野松坂屋前-平井駅前)[都営バス]
1,17,432.0,17,文花三丁目,上23(上野松坂屋前-平井駅前)[都営バス]
1,18,432.0,18,中居堀,上23(上野松坂屋前-平井駅前)[都営バス]
1,19,432.0,19,八広二丁目,上23(上野松坂屋前-平井駅前)[都営バス]
1,20,432.0,20,社会福祉会館前(東京都),上23(上野松坂屋前-平井駅前)[都営バス]
1,21,432.0,21,東墨田二丁目,上23(上野松坂屋前-平井駅前)[都営バス]
1,22,432.0,22,東墨田会館前,上23(上野松坂屋前-平井駅前)[都営バス]
1,23,432.0,23,東墨田三丁目,上23(上野松坂屋前-平井駅前)[都営バス]
1,24,432.0,24,東墨田一丁目,上23(上野松坂屋前-平井駅前)[都営バス]
1,25,432.0,25,平井七丁目第三アパート前,上23(上野松坂屋前-平井駅前)[都営バス]
1,26,432.0,26,中平井(江戸川区),上23(上野松坂屋前-平井駅前)[都営バス]
1,27,432.0,27,平井七丁目北公園前,上23(上野松坂屋前-平井駅前)[都営バス]
1,28,432.0,28,平井七丁目,上23(上野松坂屋前-平井駅前)[都営バス]
1,29,432.0,29,平井六丁目交番前,上23(上野松坂屋前-平井駅前)[都営バス]
1,30,432.0,30,平井小学校前(東京都),上23(上野松坂屋前-平井駅前)[都営バス]
1,31,432.0,31,平井駅前,上23(上野松坂屋前-平井駅前)[都営バス]
2,1,432.0,32,青戸車庫前,上23(青戸車庫前-東墨田会館)[都営バス]
2,2,432.0,33,梅田小学校前,上23(青戸車庫前-東墨田会館)[都営バス]
2,3,432.0,34,葛飾警察署前〔都営バス〕,上23(青戸車庫前-東墨田会館)[都営バス]
2,4,432.0,35,よつぎ小学校前,上23(青戸車庫前-東墨田会館)[都営バス]
2,5,432.0,36,四ツ木橋,上23(青戸車庫前-東墨田会館)[都営バス]
2,6,432.0,37,四ツ木橋南詰,上23(青戸車庫前-東墨田会館)[都営バス]
2,7,432.0,38,八広,上23(青戸車庫前-東墨田会館)[都営バス]
2,8,432.0,39,八広六丁目,上23(青戸車庫前-東墨田会館)[都営バス]
2,9,432.0,22,東墨田会館前,上23(青戸車庫前-東墨田会館)[都営バス]
2,10,432.0,23,東墨田三丁目,上23(青戸車庫前-東墨田会館)[都営バス]
2,11,432.0,24,東墨田一丁目,上23(青戸車庫前-東墨田会館)[都営バス]
2,12,432.0,25,平井七丁目第三アパート前,上23(青戸車庫前-東墨田会館)[都営バス]
2,13,432.0,26,中平井(江戸川区),上23(青戸車庫前-東墨田会館)[都営バス]
2,14,432.0,27,平井七丁目北公園前,上23(青戸車庫前-東墨田会館)[都営バス]
2,15,432.0,28,平井七丁目,上23(青戸車庫前-東墨田会館)[都営バス]
2,16,432.0,29,平井六丁目交番前,上23(青戸車庫前-東墨田会館)[都営バス]
2,17,432.0,30,平井小学校前(東京都),上23(青戸車庫前-東墨田会館)[都営バス]
2,18,432.0,31,平井駅前,上23(青戸車庫前-東墨田会館)[都営バス]
