市区町村名,緯度,経度
文京区,35.71318833,139.7640986
文京区,35.71092639,139.763885
文京区,35.70822167,139.7636714
文京区,35.70748917,139.7647394
文京区,35.70814167,139.7694086
文京区,35.70796222,139.7722619
台東区,35.71128111,139.7741083
台東区,35.70779833,139.7740167
江戸川区,35.70665389,139.8418878
江戸川区,35.710045,139.8417964
江戸川区,35.71171222,139.8419183
江戸川区,35.71479833,139.8422389
江戸川区,35.71664083,139.8379358
江戸川区,35.7143825,139.8362728
墨田区,35.71631278,139.8330225
墨田区,35.71835361,139.8343347
墨田区,35.72105056,139.8324122
墨田区,35.72175611,139.8309017
墨田区,35.71869694,139.8298031
墨田区,35.715485,139.8282467
墨田区,35.71301722,139.8266983
墨田区,35.71229583,139.8247217
墨田区,35.71094917,139.8206478
墨田区,35.70806139,139.8173061
墨田区,35.70883194,139.8121028
墨田区,35.70867944,139.8090511
墨田区,35.70837056,139.8035119
墨田区,35.71054861,139.8019708
台東区,35.71088056,139.7955317
台東区,35.71116278,139.7931972
台東区,35.70967722,139.7905078
台東区,35.71028167,139.7874903
台東区,35.71106361,139.7845147
台東区,35.71146028,139.7809139
台東区,35.71140306,139.7752986
台東区,35.71113222,139.7743678
台東区,35.70698944,139.7725672
江戸川区,35.7143825,139.8362728
墨田区,35.71631278,139.8330225
墨田区,35.71835361,139.8343347
墨田区,35.72105056,139.8324122
墨田区,35.72175611,139.8309017
墨田区,35.71869694,139.8298031
墨田区,35.715485,139.8282467
墨田区,35.71301722,139.8266983
墨田区,35.71229583,139.8247217
墨田区,35.71094917,139.8206478
墨田区,35.70806139,139.8173061
墨田区,35.70883194,139.8121028
墨田区,35.70867944,139.8090511
墨田区,35.70837056,139.8035119
墨田区,35.71054861,139.8019708
台東区,35.71088056,139.7955317
台東区,35.71116278,139.7931972
台東区,35.70967722,139.7905078
台東区,35.71028167,139.7874903
台東区,35.71106361,139.7845147
台東区,35.71146028,139.7809139
台東区,35.71140306,139.7752986
台東区,35.71113222,139.7743678
台東区,35.70698944,139.7725672
江戸川区,35.70665389,139.8418878
墨田区,35.71631278,139.8330225
墨田区,35.71835361,139.8343347
墨田区,35.71835361,139.8343347
墨田区,35.72105056,139.8324122
墨田区,35.72175611,139.8309017
墨田区,35.71869694,139.8298031
墨田区,35.715485,139.8282467
墨田区,35.71301722,139.8266983
墨田区,35.71229583,139.8247217
墨田区,35.71094917,139.8206478
墨田区,35.70806139,139.8173061
墨田区,35.70883194,139.8121028
墨田区,35.71869694,139.8298031
墨田区,35.715485,139.8282467
墨田区,35.71301722,139.8266983
墨田区,35.71229583,139.8247217
墨田区,35.71094917,139.8206478
墨田区,35.70806139,139.8173061
墨田区,35.70883194,139.8121028
墨田区,35.70867944,139.8090511
江東区,35.69800222,139.8254542
江東区,35.70106139,139.8254847
江東区,35.70158417,139.8211056
墨田区,35.70122944,139.8174281
墨田区,35.7016375,139.8147731
墨田区,35.70383861,139.8143764
墨田区,35.70623056,139.8143153
墨田区,35.70824083,139.813705
墨田区,35.71015194,139.8085933
墨田区,35.71255889,139.8064264
台東区,35.71529417,139.8005061
台東区,35.71608,139.7977136
台東区,35.71676278,139.7944331
台東区,35.71735778,139.7919153
台東区,35.71789583,139.7898556
台東区,35.71906694,139.7861322
台東区,35.71995194,139.7831417
台東区,35.72104056,139.7811219
台東区,35.72268333,139.7744744
台東区,35.72107389,139.7706472
文京区,35.71831,139.7657119
台東区,35.71497,139.7674403
台東区,35.71218139,139.7686761
台東区,35.70974,139.7718653
台東区,35.70974,139.7718653
江東区,35.69800222,139.8254542
荒川区,35.73323861,139.7997583
荒川区,35.73500861,139.8023525
荒川区,35.73549667,139.8045953
荒川区,35.73770556,139.8056942
荒川区,35.73825861,139.8091578
荒川区,35.73783139,139.8110803
荒川区,35.73706472,139.80928
荒川区,35.736195,139.8078761
荒川区,35.73445917,139.8080439
荒川区,35.73238778,139.8074642
荒川区,35.73145333,139.8045039
荒川区,35.73022861,139.800155
台東区,35.726025,139.8005061
台東区,35.72375528,139.7978358
台東区,35.72121833,139.7964319
台東区,35.71957417,139.795135
台東区,35.71735778,139.7943719
台東区,35.71337194,139.7922558
台東区,35.71212028,139.7922817
台東区,35.71095694,139.7742761
台東区,35.70679889,139.7724453
台東区,35.726025,139.8005061
荒川区,35.73323861,139.7997583
荒川区,35.73500861,139.8023525
荒川区,35.73549667,139.8045953
荒川区,35.73770556,139.8056942
荒川区,35.73825861,139.8091578
荒川区,35.73783139,139.8110803
荒川区,35.73706472,139.80928
荒川区,35.736195,139.8078761
荒川区,35.73445917,139.8080439
荒川区,35.73238778,139.8074642
荒川区,35.73145333,139.8045039
荒川区,35.73022861,139.800155
台東区,35.726025,139.8005061
台東区,35.72375528,139.7978358
台東区,35.72121833,139.7964319
新宿区,35.71101028,139.7221981
文京区,35.71000694,139.7248683
新宿区,35.70947278,139.7278283
文京区,35.70991444,139.7308975
文京区,35.71355083,139.7300561
文京区,35.71747222,139.7283625
文京区,35.72025333,139.7278742
文京区,35.72141278,139.7326197
文京区,35.72298444,139.7368617
文京区,35.7260325,139.7409967
文京区,35.72911472,139.7442469
文京区,35.73013722,139.7461847
文京区,35.73257083,139.7500147
文京区,35.73356667,139.7538753
文京区,35.73322694,139.7569881
文京区,35.73197972,139.7590631
文京区,35.72954194,139.7626033
文京区,35.727585,139.7635644
文京区,35.72436167,139.763
文京区,35.72156944,139.7620233
文京区,35.7196125,139.7633661
文京区,35.71812083,139.7650294
台東区,35.70747389,139.7728267
文京区,35.73356667,139.7538753
文京区,35.73322694,139.7569881
文京区,35.73197972,139.7590631
文京区,35.72954194,139.7626033
文京区,35.727585,139.7635644
文京区,35.72436167,139.763
文京区,35.72156944,139.7620233
文京区,35.7196125,139.7633661
文京区,35.71812083,139.7650294
台東区,35.71497,139.7674403
台東区,35.71218139,139.7686761
豊島区,35.73077778,139.7126506
豊島区,35.73266639,139.7151331
豊島区,35.732525,139.7186883
豊島区,35.73161722,139.7201839
豊島区,35.73003028,139.7235103
豊島区,35.72868361,139.7253717
豊島区,35.72615833,139.7295069
豊島区,35.73075028,139.7295558
豊島区,35.72750111,139.7334589
豊島区,35.72567778,139.7353967
文京区,35.72316778,139.7374719
文京区,35.72052028,139.7403864
文京区,35.71921556,139.7417292
文京区,35.71702222,139.7450403
文京区,35.71428694,139.7490078
文京区,35.71243306,139.7513117
文京区,35.7083475,139.7529903
文京区,35.7114375,139.7551417
文京区,35.71318472,139.7565761
文京区,35.71506,139.7582875
文京区,35.71603417,139.7624964
文京区,35.71735778,139.7655786
台東区,35.70967139,139.77156
豊島区,35.732525,139.7186883
豊島区,35.73161722,139.7201839
豊島区,35.73003028,139.7235103
豊島区,35.72868361,139.7253717
豊島区,35.72615833,139.7295069
豊島区,35.73075028,139.7295558
豊島区,35.72750111,139.7334589
豊島区,35.72567778,139.7353967
文京区,35.72316778,139.7374719
文京区,35.72052028,139.7403864
文京区,35.71921556,139.7417292
文京区,35.71702222,139.7450403
文京区,35.71428694,139.7490078
文京区,35.71243306,139.7513117
文京区,35.7083475,139.7529903
文京区,35.7114375,139.7551417
文京区,35.71318472,139.7565761
文京区,35.71506,139.7582875
文京区,35.71603417,139.7624964
文京区,35.71735778,139.7655786
台東区,35.71218139,139.7686761
中野区,35.71033111,139.6932978
新宿区,35.70996889,139.6947322
新宿区,35.71152139,139.6969447
新宿区,35.71223861,139.6996303
新宿区,35.71377972,139.7041925
新宿区,35.71207444,139.7075342
新宿区,35.71117417,139.7109217
新宿区,35.70943083,139.7157586
新宿区,35.7116625,139.7172236
新宿区,35.71138417,139.7207483
文京区,35.70883583,139.7354272
新宿区,35.70858028,139.7387842
文京区,35.70782889,139.7440181
文京区,35.70982389,139.7460933
文京区,35.70912583,139.7486719
文京区,35.7083475,139.7528375
文京区,35.707165,139.7567286
文京区,35.70744722,139.7611842
文京区,35.70736333,139.76448
台東区,35.70865667,139.7730708
台東区,35.709515,139.7716517
江戸川区,35.66718306,139.8652797
江戸川区,35.66894556,139.8643336
江戸川区,35.66988778,139.8579706
江戸川区,35.67032639,139.8551019
江東区,35.67263444,139.8407283
江東区,35.67495361,139.8406061
江東区,35.67577389,139.8382258
江東区,35.67603722,139.8346553
江東区,35.67646056,139.8313594
江東区,35.67673889,139.8289942
江東区,35.67890583,139.8273158
江東区,35.68178583,139.8275447
江東区,35.68661917,139.826675
江東区,35.68995694,139.8262019
江東区,35.692425,139.8261867
江東区,35.69557222,139.8259883
江東区,35.69613278,139.8209986
墨田区,35.69563306,139.8174586
墨田区,35.69535472,139.8141169
墨田区,35.69511056,139.8099511
墨田区,35.69508389,139.8064417
墨田区,35.69460333,139.8009792
墨田区,35.69445056,139.7984308
墨田区,35.69730417,139.7973169
墨田区,35.69899389,139.7939753
墨田区,35.69533194,139.7919917
江戸川区,35.66718306,139.8652797
江戸川区,35.66894556,139.8643336
江戸川区,35.66988778,139.8579706
江戸川区,35.67032639,139.8551019
江東区,35.67263444,139.8407283
江東区,35.67495361,139.8406061
江東区,35.67577389,139.8382258
江東区,35.67603722,139.8346553
江東区,35.67646056,139.8313594
江東区,35.67673889,139.8289942
江東区,35.67890583,139.8273158
江東区,35.68178583,139.8275447
江東区,35.68661917,139.826675
江東区,35.68995694,139.8262019
江東区,35.692425,139.8261867
江東区,35.69557222,139.8259883
江東区,35.69613278,139.8209986
墨田区,35.69563306,139.8174586
墨田区,35.69535472,139.8141169
墨田区,35.69511056,139.8099511
墨田区,35.69508389,139.8064417
墨田区,35.69460333,139.8009792
墨田区,35.69445056,139.7984308
江東区,35.68995694,139.8262019
江戸川区,35.66718306,139.8652797
江戸川区,35.66894556,139.8643336
江戸川区,35.66988778,139.8579706
江戸川区,35.67032639,139.8551019
江東区,35.67263444,139.8407283
江東区,35.67495361,139.8406061
江東区,35.67577389,139.8382258
江東区,35.67603722,139.8346553
江東区,35.67646056,139.8313594
江東区,35.67673889,139.8289942
江東区,35.67890583,139.8273158
江東区,35.68178583,139.8275447
江東区,35.68661917,139.826675
江東区,35.68995694,139.8262019
江東区,35.692425,139.8261867
江東区,35.69557222,139.8259883
江東区,35.69613278,139.8209986
墨田区,35.69563306,139.8174586
墨田区,35.69535472,139.8141169
墨田区,35.69511056,139.8099511
墨田区,35.69508389,139.8064417
墨田区,35.69460333,139.8009792
墨田区,35.69445056,139.7984308
墨田区,35.69730417,139.7973169
墨田区,35.69899389,139.7939753
墨田区,35.69533194,139.7919917
江戸川区,35.66718306,139.8652797
江戸川区,35.66894556,139.8643336
江戸川区,35.66988778,139.8579706
江戸川区,35.67032639,139.8551019
江東区,35.67263444,139.8407283
江東区,35.67495361,139.8406061
江東区,35.67577389,139.8382258
江東区,35.67603722,139.8346553
墨田区,35.69899389,139.7939753
江東区,35.67495361,139.8406061
江東区,35.67577389,139.8382258
墨田区,35.69508389,139.8064417
墨田区,35.69460333,139.8009792
江戸川区,35.64685472,139.8587183
江戸川区,35.64725139,139.8592678
江戸川区,35.64831944,139.8606408
江戸川区,35.64957833,139.86235
江戸川区,35.65198167,139.8632503
江戸川区,35.65592833,139.8635689
江戸川区,35.65723056,139.8610531
江戸川区,35.65883667,139.8589931
江戸川区,35.66309389,139.8560633
江東区,35.66576028,139.8371119
江東区,35.66631333,139.8344722
江東区,35.66670639,139.8330836
江東区,35.66722528,139.8321986
江東区,35.67076889,139.8258356
江東区,35.67271833,139.8262628
江東区,35.676575,139.8271328
江戸川区,35.66309389,139.8560633
江東区,35.66576028,139.8371119
江東区,35.66631333,139.8344722
江東区,35.66670639,139.8330836
江東区,35.66722528,139.8321986
江東区,35.67076889,139.8258356
江東区,35.67271833,139.8262628
江東区,35.676575,139.8271328
江東区,35.67890583,139.8273158
江東区,35.68178583,139.8275447
江東区,35.68661917,139.826675
江東区,35.68995694,139.8262019
江東区,35.692425,139.8261867
