会社名,路線名,バス停名,緯度,経度
東急バス,夕やけこやけルート(区役所-恵比寿)[ハチ公バス],渋谷区役所,35.664783,139.699184
東急バス,夕やけこやけルート(区役所-恵比寿)[ハチ公バス],国立代々木競技場前,35.666253,139.700352
東急バス,夕やけこやけルート(区役所-恵比寿)[ハチ公バス],かんなみの杜・渋谷,35.664641,139.701499
東急バス,夕やけこやけルート(区役所-恵比寿)[ハチ公バス],宮下公園前,35.661223,139.702439
東急バス,夕やけこやけルート(区役所-恵比寿)[ハチ公バス],渋谷駅ハチ公口,35.658446,139.700701
東急バス,夕やけこやけルート(区役所-恵比寿)[ハチ公バス],文化総合センター大和田,35.655987,139.699866
東急バス,夕やけこやけルート(区役所-恵比寿)[ハチ公バス],ＪＴ前,35.655381,139.697808
東急バス,夕やけこやけルート(区役所-恵比寿)[ハチ公バス],渋谷駅東口〔ハチ公バス〕,35.658325,139.703635
東急バス,夕やけこやけルート(区役所-恵比寿)[ハチ公バス],渋谷二丁目,35.660718,139.706517
東急バス,夕やけこやけルート(区役所-恵比寿)[ハチ公バス],青山学院西門,35.660361,139.708981
東急バス,夕やけこやけルート(区役所-恵比寿)[ハチ公バス],渋谷４丁目,35.658316,139.713112
東急バス,夕やけこやけルート(区役所-恵比寿)[ハチ公バス],郷土博物館・文学館,35.656331,139.712153
東急バス,夕やけこやけルート(区役所-恵比寿)[ハチ公バス],渋谷図書館入口,35.655428,139.710361
東急バス,夕やけこやけルート(区役所-恵比寿)[ハチ公バス],渋谷車庫前,35.654032,139.708093
東急バス,夕やけこやけルート(区役所-恵比寿)[ハチ公バス],東二丁目(東京都),35.652392,139.709073
東急バス,夕やけこやけルート(区役所-恵比寿)[ハチ公バス],恵比寿区民施設,35.649434,139.707863
東急バス,夕やけこやけルート(区役所-恵比寿)[ハチ公バス],恵比寿駅東口,35.647295,139.711226
東急バス,夕やけこやけルート(区役所-恵比寿)[ハチ公バス],恵比寿１丁目〔ハチ公バス〕,35.647069,139.712911
東急バス,夕やけこやけルート(区役所-恵比寿)[ハチ公バス],新橋区民施設,35.647766,139.716419
東急バス,夕やけこやけルート(区役所-恵比寿)[ハチ公バス],広尾一丁目,35.649033,139.718551
東急バス,夕やけこやけルート(区役所-恵比寿)[ハチ公バス],新豊沢橋,35.647748,139.72049
東急バス,夕やけこやけルート(区役所-恵比寿)[ハチ公バス],豊沢児童遊園地,35.646767,139.71929
東急バス,夕やけこやけルート(区役所-恵比寿)[ハチ公バス],恵比寿社会教育館,35.6454,139.719345
東急バス,夕やけこやけルート(区役所-恵比寿)[ハチ公バス],恵比寿四丁目,35.64549,139.716757
東急バス,夕やけこやけルート(区役所-恵比寿)[ハチ公バス],加計塚小学校,35.643642,139.714548
東急バス,夕やけこやけルート(区役所-恵比寿)[ハチ公バス],恵比寿ガーデンプレイス,35.643198,139.712915
東急バス,夕やけこやけルート(恵比寿-区役所)[ハチ公バス],恵比寿ガーデンプレイス,35.643198,139.712915
東急バス,夕やけこやけルート(恵比寿-区役所)[ハチ公バス],恵比寿南１丁目,35.643557,139.710133
東急バス,夕やけこやけルート(恵比寿-区役所)[ハチ公バス],恵比寿駅入口,35.645442,139.708032
東急バス,夕やけこやけルート(恵比寿-区役所)[ハチ公バス],恵比寿公園,35.647209,139.707136
東急バス,夕やけこやけルート(恵比寿-区役所)[ハチ公バス],恵比寿区民施設,35.649821,139.707526
東急バス,夕やけこやけルート(恵比寿-区役所)[ハチ公バス],恵比寿西２丁目,35.65176,139.706458
東急バス,夕やけこやけルート(恵比寿-区役所)[ハチ公バス],代官山保育園・ログロード代官山,35.650612,139.705163
東急バス,夕やけこやけルート(恵比寿-区役所)[ハチ公バス],代官山駅,35.648602,139.703794
東急バス,夕やけこやけルート(恵比寿-区役所)[ハチ公バス],猿楽トレーニングジム入口・代官山Ｔサイト,35.649852,139.700106
東急バス,夕やけこやけルート(恵比寿-区役所)[ハチ公バス],都立一商,35.650872,139.699197
東急バス,夕やけこやけルート(恵比寿-区役所)[ハチ公バス],鉢山町交番,35.652702,139.69814
東急バス,夕やけこやけルート(恵比寿-区役所)[ハチ公バス],文化総合センター大和田,35.655998,139.700144
東急バス,夕やけこやけルート(恵比寿-区役所)[ハチ公バス],ＪＴ前,35.655381,139.697808
東急バス,夕やけこやけルート(恵比寿-区役所)[ハチ公バス],渋谷駅西口〔ハチ公バス〕,35.66004,139.700611
東急バス,夕やけこやけルート(恵比寿-区役所)[ハチ公バス],神南郵便局,35.66186,139.700679
東急バス,夕やけこやけルート(恵比寿-区役所)[ハチ公バス],消防署入口,35.663764,139.701215
東急バス,夕やけこやけルート(恵比寿-区役所)[ハチ公バス],かんなみの杜・渋谷,35.664918,139.701363
東急バス,夕やけこやけルート(恵比寿-区役所)[ハチ公バス],国立代々木競技場前,35.666109,139.700484
東急バス,夕やけこやけルート(恵比寿-区役所)[ハチ公バス],渋谷区役所,35.664783,139.699184
東急バス,夕やけこやけルート(恵比寿-区役所)[ハチ公バス],恵比寿ガーデンプレイス,35.643198,139.712915
東急バス,夕やけこやけルート(恵比寿-区役所)[ハチ公バス],恵比寿南１丁目,35.643557,139.710133
東急バス,夕やけこやけルート(恵比寿-区役所)[ハチ公バス],恵比寿駅入口,35.645442,139.708032
東急バス,夕やけこやけルート(恵比寿-区役所)[ハチ公バス],恵比寿公園,35.647209,139.707136
東急バス,夕やけこやけルート(恵比寿-区役所)[ハチ公バス],恵比寿区民施設,35.649821,139.707526
東急バス,夕やけこやけルート(恵比寿-区役所)[ハチ公バス],恵比寿西２丁目,35.65176,139.706458
東急バス,夕やけこやけルート(恵比寿-区役所)[ハチ公バス],代官山保育園・ログロード代官山,35.650612,139.705163
東急バス,夕やけこやけルート(恵比寿-区役所)[ハチ公バス],代官山駅,35.648602,139.703794
東急バス,夕やけこやけルート(恵比寿-区役所)[ハチ公バス],猿楽トレーニングジム入口・代官山Ｔサイト,35.649852,139.700106
東急バス,夕やけこやけルート(恵比寿-区役所)[ハチ公バス],都立一商,35.650872,139.699197
東急バス,夕やけこやけルート(恵比寿-区役所)[ハチ公バス],鉢山町交番,35.652702,139.69814
東急バス,夕やけこやけルート(恵比寿-区役所)[ハチ公バス],文化総合センター大和田,35.655998,139.700144
