路線ID,バス会社ID,路線名称
1,432.0,上０１
2,432.0,上２３
3,432.0,上２３
4,432.0,上２３
5,432.0,上２３
6,432.0,上２３
7,432.0,上２３
8,432.0,上２６
9,432.0,上２６
10,432.0,上４６
11,432.0,上４６
12,432.0,上４６
13,432.0,上４６
14,432.0,上４６
15,432.0,上５８
16,432.0,上５８
17,432.0,上６０
18,432.0,上６０
19,432.0,上６９
20,432.0,両２８
21,432.0,両２８
22,432.0,両２８
23,432.0,両２８
24,432.0,両２８
25,432.0,両２８
26,432.0,両２８
27,432.0,両２８
28,432.0,両２８
29,432.0,両２８
30,432.0,両２８出入
31,432.0,両２８出入
32,432.0,亀２１
33,432.0,亀２１
34,432.0,亀２３
35,432.0,亀２４
36,432.0,亀２４
37,432.0,亀２６
38,432.0,亀２６
39,432.0,亀２９
40,432.0,亀２９
41,432.0,井９２
42,432.0,井９６
43,432.0,井９８
44,432.0,井９８
45,432.0,北４７
46,432.0,北４７
47,432.0,北４７
48,432.0,北４７
49,432.0,北４７
50,432.0,反９４
51,432.0,反９４
52,432.0,反９６
53,432.0,反９６
54,432.0,反９６
55,432.0,反９６
56,432.0,品９１
57,432.0,品９３
58,432.0,品９３
59,432.0,品９３出入
60,432.0,品９３出入
61,432.0,品９６乙
62,432.0,品９６乙
63,432.0,品９６甲
64,432.0,品９７
65,432.0,品９７
66,432.0,品９７
67,432.0,品９８
68,432.0,品９８
69,432.0,品９８
70,432.0,品９８
71,432.0,品９８
72,432.0,品９９
73,432.0,品９９折返
74,432.0,品９９折返
75,432.0,学０２
76,432.0,学０２
77,432.0,学０３
78,432.0,学０３
79,432.0,学０５
80,432.0,学０６
81,432.0,学０６
82,432.0,宿７４
83,432.0,宿７４
84,432.0,宿７４出入
85,432.0,宿７４出入
86,432.0,宿７５
87,432.0,宿７５
88,432.0,宿７５
89,432.0,宿７５
90,432.0,宿７５出入
91,432.0,宿７５出入
92,432.0,宿９１
93,432.0,宿９１
94,432.0,宿９１
95,432.0,宿９１
96,432.0,宿９１
97,432.0,宿９１
98,432.0,市０１急行
99,432.0,市０１
100,432.0,市０１
101,432.0,市０１
102,432.0,平２３
103,432.0,平２３
104,432.0,平２８
105,432.0,急行０５
106,432.0,急行０５
107,432.0,急行０６
108,432.0,急行０６
109,432.0,新小２０
110,432.0,新小２０
111,432.0,新小２０
112,432.0,新小２０
113,432.0,新小２１
114,432.0,新小２１
115,432.0,新小２１
116,432.0,新小２１
117,432.0,新小２１
118,432.0,新小２２
119,432.0,新小２２
120,432.0,新小２２
121,432.0,新小２９
122,432.0,新小２９
123,432.0,新小２９－２
124,432.0,新小２９－２
