バス会社ID,バス会社名称
1,北海道中央バス（株）
2,道南バス（株）
3,JR北海道バス（株）
4,道北バス（株）
5,宗谷バス（株）
6,阿寒バス（株）
7,十勝バス（株）
8,北海道北見バス（株）
9,函館バス（株）
10,北都交通（株）
11,沿岸バス（株）
12,くしろバス（株）
13,北海道拓殖バス（株）
14,根室交通（株）
15,斜里バス（株）
16,北紋バス（株）
17,網走バス（株）
18,銀嶺バス（株）
19,旭川電気軌道（株）
20,苫小牧市
21,むかわ町
22,夕張鉄道（株）
23,ニセコバス（株）
24,名士バス（株）
25,（株）じょうてつ
26,大樹町
27,帯運観光（株）
28,ニセコ町
29,羅臼町
30,浜中町
31,あつまバス（株）
32,南幌町
33,空知中央バス
34,ふらのバス（株）
35,士別軌道（株）
36,本別町
37,栗山町
38,長沼町
39,蘭越町
40,占冠村
41,美唄市
42,奥尻町
43,石狩市
44,和寒町
45,剣淵町
46,遠軽町
47,士別市
48,北斗市
49,南富良野町
50,鷹栖町
51,新篠津交通
52,東神楽町
53,当別町
54,津別町
55,千歳相互観光バス（株）
56,日光ハイヤー（株）
57,日高町
58,美幌町
59,北海道松前町
60,恵庭市
61,てんてつバス（株）
62,音更町
63,北見市
64,上川町
65,千歳市
66,空知交通（株）
67,猿仏村
68,綱走観光交通（株）
69,幕別町
70,毎日交通（株）
71,ばんけい観光バス（株）
72,上富良野町
73,せたな町
74,倶知安町
75,古平町
76,下川町
77,浦臼町
78,西興部村
79,函館タクシー（株）
80,妹背牛町
81,羽幌町
82,音威子府村
83,愛別町
84,奈井江町
85,豊頃町
86,三笠市
87,JRバス東北（株）
88,弘南バス（株）
89,十和田観光電鉄（株）
90,南部バス（株）
91,青森市
92,下北交通（株）
93,八戸市
94,東北町
95,南部町
96,七戸町
97,田子町
98,平内町
99,おいらせ町
100,六戸町
101,外ケ浜町
102,中泊町
103,黒石市
104,今別町
105,階上町
106,中里交通
107,藤崎町
108,三沢市
109,車力タクシー
110,（有）脇野沢交通
111,蓬田村
112,県南タクシー
113,岩手県交通（株）
114,岩手県北自動車（株）
115,一関市
116,二戸市
117,軽米町
118,岩泉町
119,奥州市
120,久慈市
121,藤沢町
122,紫波町
123,金ケ崎町
124,雫石町
125,東磐交通（株）
126,花巻市
127,洋野町
128,岩手急行バス（株）
129,矢巾町
130,宮古市
131,八幡平市
132,北上市
