路線ID,バス会社ID,バス停ID,バス停名称,路線名称
1,432.0,1,東大構内,上０１
1,432.0,2,東大病院前,上０１
1,432.0,3,竜岡門,上０１
1,432.0,4,湯島四丁目,上０１
1,432.0,5,湯島三丁目,上０１
1,432.0,6,上野広小路,上０１
1,432.0,7,上野公園山下,上０１
1,432.0,8,上野松坂屋前,上０１
1,432.0,6,上野広小路,上０１
1,432.0,5,湯島三丁目,上０１
1,432.0,3,竜岡門,上０１
1,432.0,2,東大病院前,上０１
1,432.0,1,東大構内,上０１
2,432.0,9,平井駅前,上２３
2,432.0,10,平井小学校前,上２３
2,432.0,11,平井六丁目交番前,上２３
2,432.0,12,平井七丁目,上２３
2,432.0,13,平井七丁目北公園前,上２３
2,432.0,14,平井七丁目第三アパート前,上２３
2,432.0,15,東墨田一丁目,上２３
2,432.0,16,東墨田三丁目,上２３
2,432.0,17,東墨田会館前,上２３
2,432.0,18,東墨田二丁目,上２３
2,432.0,19,社会福祉会館前,上２３
2,432.0,20,八広二丁目,上２３
2,432.0,21,中居堀,上２３
2,432.0,22,文花三丁目,上２３
2,432.0,23,十間橋通り,上２３
2,432.0,24,十間橋,上２３
2,432.0,25,押上,上２３
2,432.0,26,とうきょうスカイツリー駅入口,上２３
2,432.0,27,本所吾妻橋,上２３
2,432.0,28,墨田区役所前,上２３
2,432.0,29,浅草雷門,上２３
2,432.0,30,浅草一丁目,上２３
2,432.0,31,浅草寿町,上２３
2,432.0,32,菊屋橋,上２３
2,432.0,33,東上野六丁目,上２３
2,432.0,34,下谷神社前,上２３
2,432.0,35,上野駅前,上２３
2,432.0,36,上野公園山下,上２３
2,432.0,37,上野松坂屋前,上２３
2,432.0,9,平井駅前,上２３
2,432.0,10,平井小学校前,上２３
2,432.0,11,平井六丁目交番前,上２３
2,432.0,12,平井七丁目,上２３
2,432.0,13,平井七丁目北公園前,上２３
3,432.0,38,中平井,上２３
3,432.0,39,平井七丁目第三アパート前,上２３
3,432.0,40,東墨田一丁目,上２３
3,432.0,41,東墨田三丁目,上２３
3,432.0,42,東墨田会館前,上２３
3,432.0,43,東墨田二丁目,上２３
3,432.0,44,社会福祉会館前,上２３
3,432.0,45,八広二丁目,上２３
3,432.0,46,中居堀,上２３
3,432.0,47,文花三丁目,上２３
3,432.0,48,十間橋通り,上２３
3,432.0,49,十間橋,上２３
3,432.0,50,押上,上２３
3,432.0,51,とうきょうスカイツリー駅入口,上２３
3,432.0,52,本所吾妻橋,上２３
3,432.0,53,リバーピア吾妻橋前,上２３
3,432.0,54,浅草雷門,上２３
3,432.0,55,浅草一丁目,上２３
3,432.0,56,浅草寿町,上２３
3,432.0,57,菊屋橋,上２３
3,432.0,58,東上野六丁目,上２３
3,432.0,59,下谷神社前,上２３
3,432.0,60,上野駅前,上２３
3,432.0,61,上野公園山下,上２３
3,432.0,62,上野松坂屋前,上２３
2,432.0,9,平井駅前,上２３
2,432.0,10,平井小学校前,上２３
2,432.0,11,平井六丁目交番前,上２３
2,432.0,12,平井七丁目,上２３
2,432.0,13,平井七丁目北公園前,上２３
2,432.0,14,平井七丁目第三アパート前,上２３
4,432.0,63,平井西袋,上２３
4,432.0,64,平井操車所,上２３
2,432.0,9,平井駅前,上２３
2,432.0,10,平井小学校前,上２３
2,432.0,11,平井六丁目交番前,上２３
2,432.0,12,平井七丁目,上２３
2,432.0,13,平井七丁目北公園前,上２３
3,432.0,38,中平井,上２３
3,432.0,39,平井七丁目第三アパート前,上２３
5,432.0,65,平井西袋,上２３
5,432.0,66,平井操車所,上２３
2,432.0,9,平井駅前,上２３
2,432.0,10,平井小学校前,上２３
2,432.0,11,平井六丁目交番前,上２３
2,432.0,12,平井七丁目,上２３
2,432.0,13,平井七丁目北公園前,上２３
2,432.0,14,平井七丁目第三アパート前,上２３
2,432.0,15,東墨田一丁目,上２３
2,432.0,16,東墨田三丁目,上２３
2,432.0,17,東墨田会館前,上２３
6,432.0,67,八広六丁目,上２３
6,432.0,68,八広,上２３
6,432.0,69,四ッ木橋南詰,上２３
6,432.0,70,四ッ木橋,上２３
6,432.0,71,よつぎ小学校前,上２３
