路線ID,バス会社ID,路線名称
1,432.0,上０１
2,432.0,上２３
3,432.0,上２３
4,432.0,上２３
5,432.0,上２３
6,432.0,上２３
7,432.0,上２３
8,432.0,上２６
9,432.0,上２６
10,432.0,上４６
11,432.0,上４６
12,432.0,上４６
13,432.0,上５８
14,432.0,上５８
15,432.0,上６０
16,432.0,上６０
17,432.0,上６９
18,432.0,両２８
19,432.0,両２８
20,432.0,両２８
21,432.0,両２８
22,432.0,両２８
23,432.0,両２８
24,432.0,両２８
25,432.0,両２８出入
26,432.0,両２８出入
27,432.0,亀２１
28,432.0,亀２３
29,432.0,亀２４
30,432.0,亀２４
31,432.0,亀２６
32,432.0,亀２９
33,432.0,井９２
34,432.0,井９６
35,432.0,井９８
36,432.0,井９８
37,432.0,北４７
38,432.0,北４７
39,432.0,北４７
40,432.0,反９４
41,432.0,反９４
42,432.0,反９６
43,432.0,反９６
44,432.0,反９６
45,432.0,品９１
46,432.0,品９３
47,432.0,品９３
48,432.0,品９３出入
49,432.0,品９３出入
50,432.0,品９６乙
51,432.0,品９６甲
52,432.0,品９７
53,432.0,品９７
54,432.0,品９７
55,432.0,品９８
56,432.0,品９８
57,432.0,品９８
58,432.0,品９８
59,432.0,品９８
60,432.0,品９９
61,432.0,品９９折返
62,432.0,学０２
63,432.0,学０３
64,432.0,学０３
65,432.0,学０５
66,432.0,学０６
67,432.0,宿７４
68,432.0,宿７４
69,432.0,宿７４出入
70,432.0,宿７５
71,432.0,宿７５出入
72,432.0,宿７５出入
73,432.0,宿９１
74,432.0,宿９１
75,432.0,宿９１
76,432.0,宿９１
77,432.0,宿９１
78,432.0,市０１急行
79,432.0,市０１
80,432.0,市０１
81,432.0,平２３
82,432.0,平２３
83,432.0,平２８
84,432.0,急行０５
85,432.0,急行０５
86,432.0,急行０６
87,432.0,急行０６
88,432.0,新小２０
89,432.0,新小２０
90,432.0,新小２１
91,432.0,新小２１
92,432.0,新小２１
93,432.0,新小２１
94,432.0,新小２１
95,432.0,新小２２
96,432.0,新小２２
97,432.0,新小２２
98,432.0,新小２９
99,432.0,新小２９
100,432.0,新小２９－２
101,432.0,新小２９－２
102,432.0,早７７
103,432.0,早７７
104,432.0,早８１
105,432.0,木１１乙
106,432.0,木１１乙
107,432.0,木１１甲
108,432.0,木１１甲
109,432.0,木１１甲
110,432.0,木１１甲
111,432.0,木１１甲
112,432.0,木１１甲
113,432.0,東１５
114,432.0,東１５
115,432.0,東１６
116,432.0,東１６
117,432.0,東１６
118,432.0,東１６
119,432.0,東１６
120,432.0,東２２
121,432.0,東２２
122,432.0,東４２－１
123,432.0,東４２－１
