会社名称,路線名称,どこからどこまで,行き方面,帰り方面,バス停名称,url,緯度,経度,同じバス停
神奈川中央交通,藤１５,藤沢駅北口～湘南ライフタウン,湘南ライフタウン方面,藤沢駅北口方面,羽根沢,https://mb.jorudan.co.jp//os/bus/1403/stop/61768.html,35.36424389,139.4405339,
神奈川中央交通,藤１５,藤沢駅北口～湘南ライフタウン,湘南ライフタウン方面,藤沢駅北口方面,城下,https://mb.jorudan.co.jp//os/bus/1403/stop/61349.html,35.35977778,139.4491969,
神奈川中央交通,藤１５,藤沢駅北口～湘南ライフタウン,湘南ライフタウン方面,藤沢駅北口方面,明治小学校前,https://mb.jorudan.co.jp//os/bus/1403/stop/59623.html,35.3486575,139.4592536,
神奈川中央交通,藤２１,茅ヶ崎駅～藤沢駅北口,藤沢駅北口方面,茅ヶ崎駅方面,新町三丁目,https://mb.jorudan.co.jp//os/bus/1403/stop/59229.html,35.33766083,139.4605378,
神奈川中央交通,藤２１,茅ヶ崎駅～藤沢駅北口,藤沢駅北口方面,茅ヶ崎駅方面,新町二丁目,https://mb.jorudan.co.jp//os/bus/1403/stop/58709.html,35.33741194,139.4554208,
神奈川中央交通,藤２１,茅ヶ崎駅～藤沢駅北口,藤沢駅北口方面,茅ヶ崎駅方面,新町一丁目,https://mb.jorudan.co.jp//os/bus/1403/stop/59283.html,35.33720083,139.4527808,
神奈川中央交通,藤２１,茅ヶ崎駅～藤沢駅北口,藤沢駅北口方面,茅ヶ崎駅方面,辻堂駅北口,https://mb.jorudan.co.jp//os/bus/1403/stop/61485.html,35.33705972,139.4466339,
神奈川中央交通,藤２１,茅ヶ崎駅～藤沢駅北口,藤沢駅北口方面,茅ヶ崎駅方面,辻堂駅西口［北側］,https://mb.jorudan.co.jp//os/bus/1403/stop/229924.html,35.337165,139.4431589,
神奈川中央交通,藤２１,茅ヶ崎駅～藤沢駅北口,藤沢駅北口方面,茅ヶ崎駅方面,小和田小学校,https://mb.jorudan.co.jp//os/bus/1403/stop/61360.html,35.34247,139.4371097,
神奈川中央交通,藤２１,茅ヶ崎駅～藤沢駅北口,藤沢駅北口方面,茅ヶ崎駅方面,幼稚園前［茅ヶ崎市］,https://mb.jorudan.co.jp//os/bus/1403/stop/229537.html,35.34144611,139.4354592,
神奈川中央交通,藤２１,茅ヶ崎駅～藤沢駅北口,藤沢駅北口方面,茅ヶ崎駅方面,菱沼団地入口,https://mb.jorudan.co.jp//os/bus/1403/stop/61422.html,35.3411225,139.4321036,
神奈川中央交通,藤２１,茅ヶ崎駅～藤沢駅北口,藤沢駅北口方面,茅ヶ崎駅方面,菱沼二丁目,https://mb.jorudan.co.jp//os/bus/1403/stop/60668.html,35.34107444,139.4295519,
神奈川中央交通,藤２１,茅ヶ崎駅～藤沢駅北口,藤沢駅北口方面,茅ヶ崎駅方面,松林,https://mb.jorudan.co.jp//os/bus/1403/stop/58822.html,35.34135361,139.4265567,
神奈川中央交通,藤２１,茅ヶ崎駅～藤沢駅北口,藤沢駅北口方面,茅ヶ崎駅方面,松林二丁目,https://mb.jorudan.co.jp//os/bus/1403/stop/58209.html,35.34129389,139.4230703,
神奈川中央交通,藤２１,茅ヶ崎駅～藤沢駅北口,茅ヶ崎駅方面,藤沢駅北口方面,ソニー前,https://mb.jorudan.co.jp//os/bus/1403/stop/60045.html,35.33997028,139.4627933,
神奈川中央交通,藤２１,茅ヶ崎駅～藤沢駅北口,茅ヶ崎駅方面,藤沢駅北口方面,新町三丁目,https://mb.jorudan.co.jp//os/bus/1403/stop/60151.html,35.33816972,139.4630517,
神奈川中央交通,藤２１,茅ヶ崎駅～藤沢駅北口,茅ヶ崎駅方面,藤沢駅北口方面,新町二丁目,https://mb.jorudan.co.jp//os/bus/1403/stop/59229.html,35.33766083,139.4605378,
神奈川中央交通,藤２１,茅ヶ崎駅～藤沢駅北口,茅ヶ崎駅方面,藤沢駅北口方面,新町一丁目,https://mb.jorudan.co.jp//os/bus/1403/stop/58709.html,35.33741194,139.4554208,
神奈川中央交通,藤２１,茅ヶ崎駅～藤沢駅北口,茅ヶ崎駅方面,藤沢駅北口方面,辻堂駅北口,https://mb.jorudan.co.jp//os/bus/1403/stop/59283.html,35.33720083,139.4527808,
神奈川中央交通,藤２１,茅ヶ崎駅～藤沢駅北口,茅ヶ崎駅方面,藤沢駅北口方面,辻堂駅西口［北側］,https://mb.jorudan.co.jp//os/bus/1403/stop/61485.html,35.33705972,139.4466339,
神奈川中央交通,藤２１,茅ヶ崎駅～藤沢駅北口,茅ヶ崎駅方面,藤沢駅北口方面,東小和田,https://mb.jorudan.co.jp//os/bus/1403/stop/229924.html,35.337165,139.4431589,
神奈川中央交通,藤２１,茅ヶ崎駅～藤沢駅北口,茅ヶ崎駅方面,藤沢駅北口方面,小和田小学校,https://mb.jorudan.co.jp//os/bus/1403/stop/60743.html,35.34096083,139.4384689,
