会社名,路線名,バス停名,緯度,経度
東京都交通局,上２３(上野松坂屋前-平井駅前)[都営バス],上野松坂屋前,35.70699,139.772551
東京都交通局,上２３(青戸車庫前-東墨田会館)[都営バス],青戸車庫前,35.743776,139.843356
東京都交通局,上２６[都営バス],亀戸駅前,35.698022,139.825505
東京都交通局,上４６[都営バス],南千住駅東口,35.733403,139.799884
東京都交通局,上５８[都営バス],早稲田(東京都),35.711071,139.722139
東京都交通局,上６０[都営バス],池袋駅東口,35.730811,139.71267
東京都交通局,上６９(小滝橋車庫前-上野公園)[都営バス],小滝橋車庫前,35.710359,139.693351
東京都交通局,両２８[都営バス],両国駅前,35.695244,139.792064
東京都交通局,両２８〔日曹橋経由〕[都営バス],両国駅前,35.695244,139.792064
東京都交通局,亀２１[都営バス],東陽町駅前,35.669742,139.81686
東京都交通局,亀２３(亀戸駅前-江東高齢者医療センター)[都営バス],亀戸駅前,35.697835,139.825749
東京都交通局,亀２３(江東高齢者医療センター-亀戸駅前)[都営バス],江東高齢者医療センター,35.665309,139.834315
東京都交通局,亀２４[都営バス],葛西橋,35.672698,139.842438
東京都交通局,亀２６[都営バス],今井〔都営バス〕,35.68341,139.887619
東京都交通局,亀２９[都営バス],なぎさニュータウン,35.646968,139.879705
東京都交通局,井９２(大井町駅東口-八潮パークタウン)[都営バス],大井町駅東口,35.60622,139.735483
東京都交通局,井９６(大井町駅東口-天王洲アイル)[都営バス],大井町駅東口,35.606552,139.735166
東京都交通局,井９６(天王洲アイル-大井町駅東口)[都営バス],天王洲アイル,35.621238,139.750773
東京都交通局,井９８[都営バス],大井町駅東口,35.606445,139.735147
東京都交通局,北４７(足立清掃工場前-竹の塚駅前)[都営バス],足立清掃工場前〔都営バス〕,35.804033,139.797014
東京都交通局,北４７(竹の塚駅前-北千住駅前)[都営バス],竹の塚駅前,35.793561,139.792453
東京都交通局,反９４[都営バス],五反田駅,35.626287,139.723936
東京都交通局,反９６[都営バス],五反田駅,35.626188,139.724021
東京都交通局,品９１〔八潮方面〕[都営バス],品川駅港南口,35.628757,139.741177
東京都交通局,品９３[都営バス],大井競馬場前,35.593265,139.741034
東京都交通局,品９６乙[都営バス],品川駅港南口,35.628956,139.74117
東京都交通局,品９１〔品川駅方面〕[都営バス],八潮パークタウン,35.599726,139.750774
東京都交通局,品９６甲[都営バス],品川駅港南口,35.628898,139.741132
東京都交通局,品９７[都営バス],品川車庫前,35.623294,139.741106
東京都交通局,品９８[都営バス],品川駅港南口,35.628535,139.741638
東京都交通局,品９９(品川駅港南口-品川埠頭)[都営バス],品川駅港南口,35.629672,139.741362
東京都交通局,品９９(品川埠頭-品川駅港南口)[都営バス],品川埠頭,35.631621,139.757634
東京都交通局,上０１[都営バス],東大構内,35.71324,139.764238
東京都交通局,学０２[都営バス],高田馬場駅前,35.713317,139.704487
東京都交通局,学０３[都営バス],日赤医療センター前(東京都),35.655149,139.717758
東京都交通局,学０５[都営バス],目白駅前〔川村学園〕,35.721131,139.707904
東京都交通局,学０６[都営バス],恵比寿駅前,35.64688,139.70947
東京都交通局,宿７４[都営バス],新宿駅西口,35.692228,139.698698
東京都交通局,宿７４出入[都営バス],新宿車庫前,35.683494,139.687356
東京都交通局,宿７５[都営バス],新宿駅西口,35.692228,139.698698
東京都交通局,宿７５出入[都営バス],新宿車庫前,35.683494,139.687356
東京都交通局,宿９１[都営バス],新宿駅西口,35.691775,139.698733
東京都交通局,宿９１(杉並車庫行き)[都営バス],セシオン杉並前,35.695999,139.654224
東京都交通局,市０１[都営バス],新橋駅前,35.666884,139.758559
東京都交通局,平２３[都営バス],葛西駅前,35.663265,139.87275
東京都交通局,平２８〔平井方面〕[都営バス],東大島駅前〔小松川口〕,35.689489,139.84891
東京都交通局,平２８〔東大島方面〕[都営バス],平井駅前,35.70675,139.8423
東京都交通局,急行０５[都営バス],錦糸町駅前,35.695914,139.814465
東京都交通局,急行０６[都営バス],森下駅前(東京都),35.687561,139.798411
東京都交通局,新小２０[都営バス/京成タウンバス],タウンバス車庫,35.736013,139.855621
東京都交通局,新小２１(西葛西駅前-新小岩駅前)[都営バス],西葛西駅前,35.664157,139.85907
東京都交通局,新小２１(東小松川車庫前-船堀駅前)[都営バス],東小松川車庫前,35.688143,139.864772
