変更後バス停名称,緯度,経度
Hareza池袋東,35.732085,139.71657
JMTダイナベース,35.586914,139.747104
JMT京浜トラックターミナル,35.586861,139.744057
JR王子駅,35.754527,139.736794
JR田端駅,35.738261,139.759644
NHK技研前,35.635202,139.615835
NTT江戸川支店前,35.710472,139.873969
NTT江戸川支店前,35.710472,139.873969
アーツ千代田3331,35.703992,139.771665
あかつき公園,35.666735,139.775626
アカデミー音羽,35.719889,139.725754
アクロスあらかわ,35.740639,139.783325
アクアステージ入口,35.755981,139.758914
アクロシティ,35.740608,139.79038
アクロシティ,35.740608,139.79038
いかづち公園前,35.785145,139.783566
いかづち公園前,35.785145,139.783566
いすゞ病院前,35.589163,139.732685
ウテナ前,35.668064,139.608634
ウテナ前,35.668064,139.608634
エル・ソフィア前,35.771108,139.797576
エル・ソフィア前,35.771108,139.797576
オペラ通り,35.682256,139.684992
オリンピック下丸子店前,35.57089,139.681389
ガス橋二十一世紀桜,35.564491,139.684096
かんだ連雀,35.696604,139.768511
キャナルコート2街区前,35.646469,139.80458
キャナルコート4街区前,35.647859,139.804396
キヤノン本社通用門前,35.567563,139.683569
クイーンズ伊勢丹小石川店前,35.71461,139.751906
くすのきカルチャーセンター前,35.67293,139.861951
くすのきカルチャーセンター前,35.67293,139.861951
グリーンハイム荒川,35.73874,139.791214
グリーンハイム荒川,35.73874,139.791214
ケアコミュニティ・せせらぎ,35.675499,139.681564
けんちの苑,35.730678,139.801495
けんちの苑,35.730678,139.801495
コツ通り,35.735035,139.797251
コツ通り,35.735035,139.797251
こんにゃくえんま,35.711387,139.751669
さかえ児童遊園,35.776592,139.862007
さくら会前,35.59451,139.734343
さくら公園入口,35.707017,139.890238
さくら公園入口,35.707017,139.890238
サミットストア湯島天神南店,35.705916,139.767649
サレジオ教会,35.620042,139.686977
サレジオ教会,35.61958966,139.6869168
サンシャインシティ南,35.727677,139.720044
しながわ区民公園,35.596498,139.739937
しながわ区民公園,35.596498,139.739937
シニアセンター,35.669043,139.785249
しゃくやく公園前,35.704611,139.894339
しゃくやく公園前,35.704611,139.894339
シャシー整理場前,35.628617,139.832516
シャシー整理場前,35.628617,139.832516
シャレール荻窪入口,35.696269,139.625093
シンボルプロムナード公園前,35.620527,139.776997
シルバープラザ梅若,35.729396,139.815476
ジロール麹町入口,35.685851,139.741756
すいすいらんど綾瀬,35.770862,139.831514
すいすいらんど綾瀬,35.770862,139.831514
すきっぷ前,35.657349,139.625788
すみだスポーツ健康センター入口,35.715133,139.830797
すみだトリフォニーホール入口,35.697519,139.808762
すみだ女性センター,35.712898,139.81196
すみだ北斎美術館前,35.696994,139.80062
セイコーミュージアム前・法泉寺入口,35.726792,139.813087
ゼームス坂上,35.608563,139.73764
タワーホームズ前,35.705291,139.700189
タワーホームズ前,35.705291,139.700189
ちよだプラットフォームスクウェア入口,35.692346,139.760893
つくばエクスプレス浅草駅,35.713349,139.792519
つばめの里・本町東,35.687677,139.681495
つりがね池公園,35.652885,139.604845
テクノプラザかつしか,35.752163,139.851993
テクノプラザかつしか,35.752163,139.851993
ときわ橋,35.675265,139.592539
ときわ橋,35.675265,139.592539
ときわ台駅入口,35.756151,139.686157
ときわ台駅入口,35.756151,139.686157
トッパンホール・印刷博物館,35.70974,139.74336
にいじゅくみらい公園,35.772817,139.862953
にいじゅくみらい公園,35.772817,139.862953
にいじゅくみらい公園南,35.770262,139.862558
にいじゅくみらい公園南,35.770262,139.862558
パークハイアット東京前,35.686428,139.690118
パークウェイ入口,35.590823,139.663923
パークウェイ入口,35.590823,139.663923
はぁとぴあ原宿入口,35.672531,139.710721
はぁとぴあ原宿入口,35.672531,139.710721
ハイアットリージェンシー東京前,35.691303,139.691758
はちまん橋,35.599048,139.654599
はつらつセンター富ヶ谷,35.664144,139.685095
はなしょうぶ園,35.78189,139.869835
はやいち公園,35.753208,139.656614
びくに公園入口,35.755469,139.596027
ひまわり荘,35.632872,139.625995
ヒルサイドテラス,35.648507,139.700211
プラザ神明,35.658547,139.75774
フラワーロード,35.800314,139.806633
ふれあいの家,35.783067,139.860332
ふれあいの家,35.783067,139.860332
ふれあい遊歩道,35.648514,139.608287
プロムナード荻窪,35.712036,139.605472
まないた橋,35.696201,139.752947
マイホーム新川,35.673553,139.783117
ミーツポート,35.703742,139.754808
みなとっぷ21,35.682615,139.66183
みどりコミュニティセンター,35.692868,139.803023
みつわ通り,35.718243,139.645068
もみじ山通り,35.709099,139.67357
もみじ山通り,35.709099,139.67357
やっちゃば緑道,35.741229,139.801186
もみじ山,35.767092,139.601834
もみじ山,35.767092,139.601834
やのはし,35.622236,139.621246
やのはし,35.622236,139.621246
ゆいの森あらかわ,35.739542,139.784269
ゆうあいの郷・扇,35.767316,139.774593
ゆうあいの郷・扇,35.767316,139.774593
リサイクルセンター入口,35.736554,139.660128
リハポート明石,35.669115,139.776956
りんかい線天王洲アイル駅前,35.62002,139.750915
リブレ京成前,35.785469,139.859361
リブレ京成前,35.785469,139.859361
ロイヤル病院前,35.670185,139.627852
ワテラス前,35.697319,139.768278
愛育クリニック前,35.654064,139.72659
愛育クリニック前,35.65368842,139.7260341
阿弥陀橋,35.774682,139.772744
阿弥陀橋,35.774682,139.772744
阿佐ヶ谷南一丁目,35.701416,139.636106
阿佐ヶ谷南一丁目,35.701416,139.636106
愛宕一丁目,35.666359,139.749072
愛宕一丁目,35.666359,139.749072
愛宕警察署,35.661082,139.753141
愛宕警察署,35.661082,139.753141
愛宕山下,35.664931,139.749732
愛宕山下,35.664931,139.749732
旭町都営住宅前,35.771748,139.630907
旭町都営住宅前,35.771748,139.630907
旭町二丁目,35.770074,139.627148
旭町二丁目,35.770074,139.627148
阿佐ヶ谷住宅南,35.695637,139.63288
阿佐ヶ谷住宅南,35.695637,139.63288
阿佐ヶ谷住宅東,35.695613,139.633856
阿佐ヶ谷住宅東,35.695613,139.633856
旭橋,35.671082,139.625726
綾瀬小学校東,35.763377,139.830278
芦花パークゴルフ練習場,35.66646,139.608153
芦花パークゴルフ練習場,35.66646,139.608153
芦花公園駅前,35.671245,139.609057
芦花公園駅前,35.671245,139.609057
愛育クリニック,35.653723,139.726106
綾瀬二丁目,35.758646,139.828795
綾瀬二丁目,35.758646,139.828795
鞍橋,35.652759,139.600336
伊興地域学習センター東,35.791103,139.782949
伊興地域学習センター東,35.79233058,139.7829102
伊興三丁目,35.794338,139.782909
伊興三丁目,35.794338,139.782909
伊興小学校前,35.795171,139.780911
伊興小学校前,35.795171,139.780911
一口坂手前,35.693228,139.740664
一ツ橋,35.692411,139.758997
一丁目南,35.775527,139.857196
一丁目広場,35.702622,139.897928
一丁目広場,35.702622,139.897928
一丁目北,35.776269,139.855917
一之江駅環七口,35.685893,139.882575
一之江駅環七口,35.685893,139.882575
一番町交差点,35.687504,139.742046
一之江七丁目,35.687251,139.877148
一之江七丁目,35.687251,139.877148
蛎殻町一丁目水天宮前駅,35.682863,139.785169
蛎殻町二丁目,35.682181,139.786432
三原橋,35.670067,139.765696
采女橋,35.667884,139.767142
九段北一丁目,35.697831,139.750535
麹町出張所,35.685764,139.739983
五味坂交番,35.688572,139.74248
九段さくら館,35.692659,139.74384
給田郵便局,35.666216,139.591352
給田郵便局,35.666216,139.591352
給田二丁目,35.66495,139.596205
給田二丁目,35.66495,139.596205
外神田六丁目,35.704437,139.769938
御茶ノ水駅,35.70041,139.764203
宇奈根,35.621913,139.606513
喜多見中学校,35.625131,139.594806
喜多見中学校,35.625131,139.594806
宇佐美本郷ビル前,35.70467,139.760113
月島区民センター,35.662436,139.782736
月島スポーツプラザ,35.665262,139.783104
御徒町,35.707484,139.778626
永寿総合病院,35.710021,139.778607
菊坂通り,35.708312,139.759695
三筋老人福祉館東,35.705722,139.787909
